@relation train_80p100_38556_weather_only

@attribute weather_description {'overcast clouds',haze,'scattered clouds','sky is clear','broken clouds',mist,'moderate rain','Sky is Clear','light snow','heavy snow','proximity thunderstorm','few clouds','light rain','light intensity drizzle',fog,'heavy intensity rain',snow,drizzle,'proximity shower rain',thunderstorm,smoke,'thunderstorm with light rain','very heavy rain','heavy intensity drizzle','proximity thunderstorm with rain','thunderstorm with rain','shower drizzle','light shower snow','thunderstorm with heavy rain','thunderstorm with light drizzle','proximity thunderstorm with drizzle',SQUALLS,'light intensity shower rain','freezing rain','light rain and snow',sleet,'thunderstorm with drizzle'}
@attribute traffic_volume numeric

@data
'overcast clouds',3465
haze,5570
mist,4930
'broken clouds',2624
'proximity shower rain',4555
'broken clouds',4643
'sky is clear',5906
'light rain',1228
'light rain',2910
'light snow',5739
'light rain',1771
'broken clouds',4690
'sky is clear',819
'sky is clear',4947
'broken clouds',2689
mist,820
'scattered clouds',5487
'light rain',1311
'scattered clouds',5714
mist,1888
'sky is clear',4699
'heavy snow',3655
'sky is clear',1758
'light snow',2611
'overcast clouds',4936
'overcast clouds',4493
'scattered clouds',2574
'heavy intensity rain',417
'sky is clear',691
'sky is clear',249
mist,2499
'proximity shower rain',5924
'moderate rain',5200
'light rain',4273
'sky is clear',274
'light rain',6017
'broken clouds',6366
snow,3293
'light snow',485
mist,678
'heavy snow',3572
'scattered clouds',3134
'few clouds',6322
'overcast clouds',4989
'light intensity drizzle',4743
haze,4276
'Sky is Clear',5679
mist,6195
'overcast clouds',4192
'sky is clear',4955
'Sky is Clear',4434
'sky is clear',6563
'light rain',851
'scattered clouds',5941
haze,4650
'broken clouds',880
'scattered clouds',4695
'overcast clouds',4753
'few clouds',5029
'moderate rain',1011
mist,530
'proximity thunderstorm',3318
mist,570
'scattered clouds',638
'overcast clouds',292
'overcast clouds',5155
'sky is clear',2935
fog,344
'sky is clear',583
'broken clouds',5871
'overcast clouds',912
'sky is clear',5101
'Sky is Clear',2787
'scattered clouds',2153
'light rain',292
'sky is clear',3567
'overcast clouds',6252
'few clouds',5391
'broken clouds',4327
smoke,367
'sky is clear',1690
fog,2425
'light rain',6488
drizzle,3626
'broken clouds',316
'proximity thunderstorm',4416
'overcast clouds',1843
'sky is clear',2504
mist,2874
'sky is clear',807
haze,5308
'light rain',5026
'sky is clear',4815
'scattered clouds',3843
'sky is clear',262
fog,410
'broken clouds',4926
'sky is clear',1167
'light rain',3197
'light snow',2989
'light rain',2830
'scattered clouds',4976
'Sky is Clear',3246
'overcast clouds',4178
'light intensity drizzle',5523
fog,5674
drizzle,5185
'moderate rain',225
'overcast clouds',3643
'sky is clear',372
'sky is clear',4587
mist,4652
'overcast clouds',292
'overcast clouds',4982
'overcast clouds',365
mist,888
'overcast clouds',1284
'light rain',4663
haze,1287
'light snow',4941
'sky is clear',383
mist,5691
'light snow',975
'sky is clear',425
'sky is clear',611
'few clouds',3238
'overcast clouds',355
'sky is clear',515
'light snow',4173
'few clouds',5474
'heavy snow',2449
'scattered clouds',3530
'overcast clouds',5692
haze,3937
mist,4699
'overcast clouds',4862
'scattered clouds',5838
mist,4205
'moderate rain',4902
'light snow',3683
'sky is clear',5886
mist,4327
mist,641
'scattered clouds',865
'sky is clear',4637
'overcast clouds',822
'thunderstorm with light rain',1016
'few clouds',4631
'sky is clear',512
'overcast clouds',4976
'broken clouds',954
'sky is clear',2982
mist,5222
'broken clouds',3951
mist,626
mist,1834
'overcast clouds',4279
mist,416
'light rain',2730
thunderstorm,2863
mist,826
'overcast clouds',335
'light rain',5173
'overcast clouds',551
'broken clouds',6196
'light snow',2174
'overcast clouds',1111
'light rain',3136
'overcast clouds',5608
'overcast clouds',2639
haze,966
'light rain',4446
'few clouds',374
'Sky is Clear',5325
'Sky is Clear',6067
'moderate rain',5017
'sky is clear',3659
mist,1127
fog,5086
'broken clouds',4564
mist,340
mist,5641
mist,6060
'broken clouds',4822
'light intensity drizzle',709
haze,6007
'sky is clear',3759
mist,6518
'overcast clouds',667
'sky is clear',335
'scattered clouds',376
'proximity shower rain',6566
'broken clouds',2457
haze,4383
'broken clouds',1469
mist,657
'overcast clouds',2914
'few clouds',4651
'scattered clouds',947
'few clouds',358
fog,2609
'overcast clouds',5438
'light rain',5681
'overcast clouds',5239
'sky is clear',5734
'sky is clear',3370
'broken clouds',4333
'sky is clear',2384
'scattered clouds',593
'sky is clear',2935
'sky is clear',1328
'sky is clear',2716
'overcast clouds',5915
'sky is clear',1725
'sky is clear',4583
'broken clouds',4610
'light rain',3773
'broken clouds',5592
haze,353
'moderate rain',3551
'broken clouds',2676
drizzle,980
'light snow',1916
'light rain',4828
'overcast clouds',6710
'overcast clouds',3299
fog,591
'broken clouds',4098
'light snow',4474
'light rain',4386
'sky is clear',5290
'Sky is Clear',5213
'moderate rain',5185
'moderate rain',5412
mist,1103
mist,483
mist,5356
mist,330
'broken clouds',4199
'heavy snow',5806
'moderate rain',850
'sky is clear',1488
'sky is clear',594
'few clouds',5715
'overcast clouds',6017
haze,331
mist,3745
'broken clouds',5371
haze,4888
mist,5122
'light snow',4896
'moderate rain',6000
'sky is clear',4499
haze,1472
'sky is clear',4305
'light snow',767
'light rain',4795
'sky is clear',6548
'light rain',2732
'light intensity drizzle',2653
drizzle,325
'sky is clear',2890
haze,5370
'broken clouds',4904
'overcast clouds',4637
'scattered clouds',2798
'sky is clear',6410
'scattered clouds',2058
'broken clouds',305
'scattered clouds',735
'sky is clear',759
'light rain',309
'sky is clear',3075
mist,876
mist,355
'sky is clear',949
'sky is clear',3225
'light intensity drizzle',3972
'overcast clouds',2585
'broken clouds',4720
'light rain',2959
'broken clouds',2003
'light intensity drizzle',5236
'sky is clear',526
'broken clouds',342
'few clouds',591
'overcast clouds',306
'light rain',2176
'few clouds',313
'light rain',3864
'few clouds',5433
'light rain',4599
mist,798
'overcast clouds',3130
mist,5391
'light rain',1693
'light intensity drizzle',3222
'proximity thunderstorm',4137
mist,4948
'overcast clouds',658
'light snow',2573
'broken clouds',5370
'broken clouds',5996
'scattered clouds',5146
'proximity thunderstorm',1461
'sky is clear',6456
'broken clouds',6160
haze,2940
mist,1307
'sky is clear',2963
'light snow',3330
'moderate rain',378
haze,5554
'light rain',955
'sky is clear',4632
'few clouds',4399
'light snow',3410
'few clouds',5387
mist,2665
'broken clouds',729
'light snow',5900
'moderate rain',4394
mist,5783
mist,5418
'broken clouds',443
'light intensity drizzle',2723
'broken clouds',5138
'few clouds',4977
'sky is clear',3109
'few clouds',2373
'light intensity drizzle',4621
mist,922
'overcast clouds',4613
'overcast clouds',2933
'light rain',674
'broken clouds',4695
'scattered clouds',648
'light rain',4971
'very heavy rain',346
'few clouds',3953
haze,4787
drizzle,5668
'sky is clear',1962
'light rain',355
'Sky is Clear',4183
'broken clouds',326
'thunderstorm with light rain',245
'light rain',5874
'light rain',3208
'sky is clear',3054
'sky is clear',4675
'scattered clouds',3575
'scattered clouds',1482
'light intensity drizzle',5455
'overcast clouds',2029
'Sky is Clear',859
'light snow',5017
'sky is clear',3919
'sky is clear',850
'light rain',4415
'sky is clear',2844
'light intensity drizzle',4621
mist,3400
mist,6068
'sky is clear',821
'light intensity drizzle',469
'moderate rain',444
'overcast clouds',3469
'moderate rain',4349
'light rain',4865
mist,474
'broken clouds',5159
'sky is clear',404
haze,5681
drizzle,2980
'light snow',1821
'scattered clouds',348
'sky is clear',2915
'sky is clear',388
mist,6866
'sky is clear',2673
'overcast clouds',2779
'broken clouds',4491
fog,2854
'heavy intensity drizzle',366
'light intensity drizzle',2352
'sky is clear',4759
mist,847
'light rain',4119
haze,3215
'sky is clear',1713
'sky is clear',2676
'light rain',4940
'moderate rain',6299
'scattered clouds',950
mist,5266
mist,5864
'overcast clouds',6414
'few clouds',6255
'sky is clear',580
'proximity thunderstorm',2336
'sky is clear',2775
'sky is clear',3141
fog,2917
'overcast clouds',730
'light rain',4665
'sky is clear',5147
'light rain',2994
'few clouds',2264
'broken clouds',2163
mist,4238
mist,386
'light rain',196
'sky is clear',410
'sky is clear',5429
'overcast clouds',4722
'light snow',5211
'light snow',3900
'moderate rain',814
mist,333
'overcast clouds',743
'scattered clouds',2913
haze,5158
'scattered clouds',792
'light snow',825
'light rain',957
'sky is clear',480
'sky is clear',4991
mist,1656
'sky is clear',3601
'scattered clouds',4413
'scattered clouds',4557
'light snow',2334
'light intensity drizzle',2227
'light snow',3556
'broken clouds',4253
'few clouds',5636
'sky is clear',546
'sky is clear',3685
'scattered clouds',5442
'sky is clear',2914
'light rain',6445
'sky is clear',6127
'scattered clouds',925
'overcast clouds',3710
'sky is clear',1753
haze,490
'overcast clouds',4234
'broken clouds',5145
'sky is clear',4257
fog,4621
'proximity thunderstorm with rain',350
'broken clouds',5133
'few clouds',5198
'broken clouds',2709
'overcast clouds',6600
'light intensity drizzle',2211
'sky is clear',514
'moderate rain',1225
mist,5876
'light rain',4306
'overcast clouds',5785
'broken clouds',4369
'sky is clear',904
'proximity thunderstorm',301
drizzle,4564
'light snow',4564
'overcast clouds',2717
'sky is clear',312
'sky is clear',784
mist,867
'broken clouds',5965
'sky is clear',4961
'broken clouds',2877
'sky is clear',647
mist,1045
'overcast clouds',613
'overcast clouds',6274
'light rain',499
'moderate rain',2900
'broken clouds',6960
'light snow',4817
'Sky is Clear',966
'light rain',5050
'light rain',372
haze,1107
'Sky is Clear',2845
'sky is clear',3775
'sky is clear',352
haze,3602
'broken clouds',5953
mist,6058
'sky is clear',314
'broken clouds',278
'overcast clouds',5587
'sky is clear',5314
'broken clouds',1711
'overcast clouds',2556
'overcast clouds',4764
mist,2789
'sky is clear',3271
'light rain',550
'broken clouds',2696
'overcast clouds',1054
'sky is clear',439
'sky is clear',4829
'light intensity drizzle',5567
'broken clouds',2700
'overcast clouds',5412
'sky is clear',979
'heavy snow',4037
'few clouds',417
'scattered clouds',5296
mist,249
'Sky is Clear',3137
haze,350
'few clouds',2921
'overcast clouds',6643
'light rain',307
mist,3172
mist,644
'broken clouds',4048
'light rain',5538
'light intensity drizzle',2540
'scattered clouds',2716
'sky is clear',4991
'Sky is Clear',534
haze,3933
'heavy intensity rain',5377
'sky is clear',851
haze,600
'scattered clouds',5531
'overcast clouds',5916
mist,682
'light snow',5450
'overcast clouds',4699
'sky is clear',2836
'heavy intensity rain',6516
'moderate rain',2651
'light intensity drizzle',4215
'moderate rain',5443
'light rain',1642
'broken clouds',2821
'sky is clear',2372
mist,371
'heavy intensity rain',2974
'few clouds',4239
'Sky is Clear',6408
'sky is clear',5793
'scattered clouds',2450
'sky is clear',5626
'overcast clouds',6530
'moderate rain',250
'overcast clouds',4473
'overcast clouds',431
'light rain',3594
drizzle,3024
'sky is clear',532
'broken clouds',6426
'scattered clouds',2780
'overcast clouds',364
'sky is clear',3287
'broken clouds',3099
mist,1272
'sky is clear',313
'sky is clear',3022
'broken clouds',2650
'scattered clouds',3475
'sky is clear',337
'sky is clear',245
mist,4739
'sky is clear',5326
'broken clouds',6284
'sky is clear',635
'sky is clear',4590
mist,944
'Sky is Clear',6146
'scattered clouds',1293
'sky is clear',3897
'light intensity drizzle',4961
'sky is clear',2694
haze,4567
'light rain',2029
'scattered clouds',4749
'broken clouds',5001
mist,5224
'sky is clear',4402
'heavy snow',2407
'light rain',4827
'broken clouds',4969
'sky is clear',2610
'broken clouds',1236
'few clouds',4414
'Sky is Clear',3360
'light snow',706
fog,4200
'moderate rain',1356
'overcast clouds',3935
haze,6346
'overcast clouds',5049
'broken clouds',3457
'light rain',358
'scattered clouds',4407
mist,450
'broken clouds',889
'overcast clouds',2579
'scattered clouds',4010
'moderate rain',2763
'light snow',1930
'sky is clear',4317
'scattered clouds',5703
'proximity thunderstorm',5267
'sky is clear',3096
'sky is clear',1511
'light intensity drizzle',5153
'sky is clear',1513
smoke,5952
'moderate rain',5856
'scattered clouds',4753
'broken clouds',5587
'sky is clear',1092
'sky is clear',2847
'moderate rain',4873
'light intensity drizzle',3108
'light snow',2578
'light snow',4924
'light rain',4823
'light snow',3781
'moderate rain',2010
mist,345
'overcast clouds',390
'few clouds',4766
'overcast clouds',2677
'sky is clear',1350
'sky is clear',3700
'scattered clouds',2906
'light intensity drizzle',2999
'overcast clouds',972
'proximity shower rain',6597
'overcast clouds',4254
mist,300
'broken clouds',3937
'scattered clouds',4725
'overcast clouds',4637
'light rain',4853
'moderate rain',2139
mist,2300
'light intensity drizzle',2495
'sky is clear',4445
'overcast clouds',5230
'Sky is Clear',5588
'sky is clear',3688
'sky is clear',3231
'light rain',1513
mist,1183
'moderate rain',6156
'Sky is Clear',814
mist,2656
'scattered clouds',3022
'sky is clear',3199
snow,1190
'light rain',5368
fog,722
'sky is clear',1040
'sky is clear',1752
mist,4910
'light rain',3319
fog,333
'sky is clear',4893
mist,5144
'broken clouds',4256
'sky is clear',5454
'broken clouds',5971
'sky is clear',458
thunderstorm,709
'sky is clear',1695
'sky is clear',4121
'few clouds',342
'light rain',5104
'proximity thunderstorm with rain',5865
'scattered clouds',877
'moderate rain',4518
'sky is clear',4986
'broken clouds',5144
'sky is clear',2983
haze,2924
'sky is clear',3169
'scattered clouds',6083
'moderate rain',4882
'sky is clear',205
'sky is clear',4926
'broken clouds',5139
mist,5041
'scattered clouds',1972
'sky is clear',1233
'overcast clouds',3293
'sky is clear',267
'few clouds',674
'broken clouds',719
'scattered clouds',1167
'broken clouds',5881
fog,336
'sky is clear',5565
'sky is clear',4459
'broken clouds',4159
'moderate rain',356
'few clouds',5036
'sky is clear',2990
'sky is clear',6182
'light snow',4848
'scattered clouds',3661
'overcast clouds',4925
'sky is clear',4219
'few clouds',660
'light rain',773
'sky is clear',6245
'sky is clear',4039
'overcast clouds',2614
'sky is clear',2925
haze,5320
'overcast clouds',5045
'scattered clouds',2190
'Sky is Clear',6354
haze,3865
'Sky is Clear',4298
'broken clouds',4675
'few clouds',5189
haze,4748
'broken clouds',906
'light snow',3831
'overcast clouds',3154
'sky is clear',933
mist,6494
'sky is clear',4147
'overcast clouds',3248
'moderate rain',5089
'Sky is Clear',4779
'broken clouds',5610
'overcast clouds',2640
'overcast clouds',6381
'broken clouds',4752
'light rain',5147
'sky is clear',4081
drizzle,3690
'overcast clouds',241
'few clouds',5947
'light snow',5619
'light rain',2704
'broken clouds',6413
'sky is clear',2627
'light snow',3793
'broken clouds',4718
'moderate rain',2864
mist,2322
'sky is clear',1318
'light intensity drizzle',5619
'light rain',556
'overcast clouds',4608
'sky is clear',3025
'sky is clear',321
'sky is clear',2306
'Sky is Clear',1523
'Sky is Clear',259
'sky is clear',2142
'light snow',365
'sky is clear',1253
'scattered clouds',4490
mist,847
'overcast clouds',4928
'sky is clear',1789
'moderate rain',5478
'heavy snow',399
'light intensity drizzle',4499
'sky is clear',3540
haze,5263
'proximity thunderstorm',3514
'sky is clear',327
'overcast clouds',687
'overcast clouds',900
mist,658
'broken clouds',5428
'light snow',3301
mist,4652
'scattered clouds',5644
'sky is clear',3782
'sky is clear',4894
'sky is clear',261
'sky is clear',647
haze,6228
'broken clouds',1660
'sky is clear',352
'moderate rain',5426
fog,889
'overcast clouds',4289
'few clouds',4571
'light intensity drizzle',3311
'sky is clear',258
'proximity thunderstorm',1001
mist,245
'light rain',4957
mist,481
'sky is clear',888
'light rain',6188
'sky is clear',289
mist,2884
'overcast clouds',1911
'broken clouds',775
'heavy intensity drizzle',4252
'overcast clouds',4497
'Sky is Clear',2452
'broken clouds',1106
'light rain',2910
'heavy snow',5188
'moderate rain',5868
'light intensity drizzle',4718
'light rain',2338
'sky is clear',831
drizzle,367
'broken clouds',3843
'sky is clear',4313
'broken clouds',4389
mist,6122
'few clouds',6479
'light rain',2588
mist,4933
'overcast clouds',797
'sky is clear',3761
'overcast clouds',5033
'sky is clear',4936
thunderstorm,1920
'few clouds',3516
'sky is clear',5146
'scattered clouds',5853
'heavy intensity rain',904
'sky is clear',2922
'sky is clear',551
'proximity thunderstorm',721
fog,869
'overcast clouds',340
'overcast clouds',5773
'broken clouds',2131
'sky is clear',397
'light rain',4834
'overcast clouds',760
'light intensity drizzle',5285
'sky is clear',330
'sky is clear',1357
'light snow',4819
'overcast clouds',5014
mist,1209
mist,632
'broken clouds',4125
mist,2894
'overcast clouds',2566
'sky is clear',4229
'light rain',5385
mist,5835
'overcast clouds',3746
'Sky is Clear',278
'overcast clouds',351
mist,628
'sky is clear',448
'sky is clear',6478
'sky is clear',358
'Sky is Clear',5079
'sky is clear',929
'overcast clouds',3302
'light rain',5652
'light rain',1922
'scattered clouds',4755
'scattered clouds',923
'sky is clear',4663
'light rain',5555
'scattered clouds',5558
'light intensity drizzle',3146
'Sky is Clear',2967
'sky is clear',870
'moderate rain',4648
'proximity thunderstorm',439
'sky is clear',598
'sky is clear',1042
'scattered clouds',759
mist,716
'broken clouds',2778
'Sky is Clear',2659
'sky is clear',359
'scattered clouds',5049
mist,4426
'overcast clouds',3576
'broken clouds',3614
'sky is clear',2885
mist,2795
'light snow',1580
'broken clouds',919
'scattered clouds',5439
drizzle,3043
'scattered clouds',430
'moderate rain',5920
'light rain',4760
drizzle,1802
'scattered clouds',3503
'moderate rain',4442
'light snow',5385
'few clouds',3295
'broken clouds',3658
'scattered clouds',3384
'scattered clouds',4481
'sky is clear',5787
'sky is clear',432
'light snow',4463
'overcast clouds',4779
'Sky is Clear',4122
'Sky is Clear',2405
haze,5814
mist,2759
'sky is clear',6700
'moderate rain',3221
'overcast clouds',631
'light rain',1476
'Sky is Clear',2996
'light intensity drizzle',2531
mist,3876
mist,1168
fog,353
'thunderstorm with rain',5948
'light intensity drizzle',2539
'light rain',336
'shower drizzle',2010
'sky is clear',3512
'moderate rain',3452
'light rain',378
haze,5205
'broken clouds',5446
'light snow',2449
'overcast clouds',1173
mist,4534
'few clouds',4761
'sky is clear',355
haze,5729
'broken clouds',2003
'sky is clear',3181
'thunderstorm with light rain',4073
'overcast clouds',3149
'broken clouds',3604
'proximity thunderstorm',809
mist,1155
'scattered clouds',4679
'scattered clouds',2721
'broken clouds',4782
'sky is clear',1265
'sky is clear',5348
'sky is clear',2966
mist,3467
mist,332
'sky is clear',1311
'moderate rain',832
drizzle,6587
'light intensity drizzle',4681
'sky is clear',6561
'Sky is Clear',4229
'light rain',4407
'scattered clouds',5157
mist,1290
haze,1746
'sky is clear',1471
'sky is clear',5062
'overcast clouds',6278
'scattered clouds',5692
'sky is clear',5316
'light rain',365
'overcast clouds',4802
'moderate rain',304
'light rain',5253
'sky is clear',493
'light intensity drizzle',451
'sky is clear',3268
mist,467
'sky is clear',3702
mist,3111
'sky is clear',755
'sky is clear',561
'broken clouds',334
'overcast clouds',3144
'Sky is Clear',5343
'sky is clear',6182
'overcast clouds',5019
'sky is clear',321
'moderate rain',341
'sky is clear',1231
'scattered clouds',3711
'few clouds',4375
'light rain',863
'light rain',4230
'sky is clear',5788
'sky is clear',3015
'broken clouds',3464
'moderate rain',5328
'heavy snow',2885
'light intensity drizzle',4702
'sky is clear',1933
'Sky is Clear',5244
fog,6703
'sky is clear',355
mist,4877
'sky is clear',882
'light rain',312
'light rain',6591
'scattered clouds',3471
'light snow',4368
'Sky is Clear',4257
snow,2823
'light intensity drizzle',394
'Sky is Clear',440
'overcast clouds',2699
fog,2559
mist,588
'Sky is Clear',6112
'overcast clouds',1881
'overcast clouds',5606
haze,2783
'few clouds',3553
'light rain',4420
'overcast clouds',2908
'sky is clear',4443
'light rain',4683
'light rain',6063
'overcast clouds',3580
'sky is clear',2783
'sky is clear',2937
mist,787
'sky is clear',304
fog,3089
haze,252
'broken clouds',5589
'sky is clear',4332
mist,5899
'sky is clear',1255
'scattered clouds',732
'broken clouds',4384
'sky is clear',487
'broken clouds',5078
'proximity thunderstorm',3201
'Sky is Clear',1086
'proximity thunderstorm',3843
'overcast clouds',3401
'broken clouds',3735
'sky is clear',5875
'sky is clear',2843
mist,2620
'broken clouds',4961
'few clouds',2886
'sky is clear',6559
mist,3190
'light snow',2389
'light rain',5674
'light snow',743
'sky is clear',4794
'sky is clear',5017
'light snow',5025
'light rain',451
mist,3006
'broken clouds',3910
'proximity shower rain',5519
mist,4278
fog,912
'scattered clouds',756
mist,2411
'moderate rain',438
'scattered clouds',5473
mist,4321
'overcast clouds',4977
'heavy intensity rain',253
'few clouds',369
mist,2494
'broken clouds',3232
'moderate rain',4879
'sky is clear',1401
mist,5433
'Sky is Clear',6193
haze,4869
'moderate rain',4499
'sky is clear',400
'sky is clear',2796
'proximity shower rain',5879
'overcast clouds',4500
mist,2838
'sky is clear',3885
mist,5267
fog,5958
'sky is clear',3598
'sky is clear',615
'light intensity drizzle',368
'overcast clouds',5586
'Sky is Clear',2413
'Sky is Clear',579
'sky is clear',4841
'sky is clear',5130
'sky is clear',887
'proximity thunderstorm',843
mist,5691
haze,3892
'Sky is Clear',539
'overcast clouds',1904
'light rain',3779
'moderate rain',2381
'sky is clear',5797
'light intensity drizzle',4056
'Sky is Clear',649
'broken clouds',538
'light rain',4652
'light snow',5123
'sky is clear',5970
'light rain',5585
mist,1989
'sky is clear',5073
'overcast clouds',3933
'overcast clouds',4742
'Sky is Clear',1181
fog,2606
'sky is clear',5090
'proximity thunderstorm',2859
'overcast clouds',6970
'scattered clouds',2416
haze,3080
'sky is clear',2460
'moderate rain',341
'Sky is Clear',3391
'few clouds',624
'few clouds',1620
'broken clouds',355
'sky is clear',5264
'sky is clear',633
'sky is clear',5549
'overcast clouds',4982
'overcast clouds',2587
'sky is clear',2774
'overcast clouds',4702
