@relation train_80p100_38556_temp_only

@attribute temp numeric
@attribute traffic_volume numeric

@data
304.18,4829
258.46,5589
281.15,4952
255.38,1034
303.15,5463
271.28,896
278.93,5760
293.96,3677
282.85,2381
278.21,6267
268.75,5703
274.65,6595
278.01,6104
278.21,830
288.84,4776
266.71,1060
297.95,3170
284.68,6161
286.832,4356
295.58,4009
268.55,3465
269.44,5570
291.08,4930
296.72,2624
297.23,4555
291.69,4643
291.66,5906
289.06,1228
287.12,2910
274.42,5739
292.08,1771
296.76,4690
283.88,819
273.72,4947
291.46,2689
269.95,820
298.73,5487
272.01,1311
291.15,5714
269.21,1888
265.5,4699
274.03,3655
258.45,1758
260.14,2611
276.71,4936
295.58,4493
290.86,2574
295.02,417
289.85,691
255.42,249
294.1,2499
291.36,5924
294.04,5200
297.73,4273
261.23,274
290.21,6017
298.35,6366
260.46,3293
272.95,485
293.01,678
272.4,3572
253.51,3134
282.865,6322
301.68,4989
294.58,4743
295.17,4276
304.15,5679
285.9,6195
277.45,4192
297.61,4955
274.589,4434
296.35,6563
293.37,851
297.02,5941
269.35,4650
285.32,880
287.75,4695
276.22,4753
279.48,5029
279.027,1011
288.52,530
292.4,3318
286.08,570
288.22,638
287.68,292
274.79,5155
288.42,2935
289.12,344
281.361,583
303.37,5871
272.95,912
273.48,5101
302.76,2787
286.76,2153
275.72,292
302.09,3567
278.03,6252
289.79,5391
301.73,4327
286.4,367
294.22,1690
261.3,2425
284.77,6488
287.51,3626
281.47,316
296.23,4416
291.14,1843
281.75,2504
293.31,2874
284.65,807
290.83,5308
291.29,5026
288.54,4815
294.15,3843
276.22,262
288.95,410
298.86,4926
275.75,1167
274.94,3197
269.58,2989
296.95,2830
301.15,4976
295.83,3246
258.59,4178
291.07,5523
275.15,5674
284.68,5185
293.1,225
283.35,3643
291.37,372
287.36,4587
292.15,4652
257.42,292
273.01,4982
263.86,365
293.8,888
282.53,1284
293.17,4663
273.82,1287
270.08,4941
292.16,383
290.51,5691
273.44,975
274.25,425
288.61,611
303.68,3238
284,355
282.72,515
271.3,4173
265.22,5474
259.46,2449
301.58,3530
277.51,5692
281.65,3937
294.58,4699
288.6,4862
285.14,5838
280.3,4205
278.64,4902
270.08,3683
256.02,5886
272.48,4327
270.56,641
294.01,865
262.6,4637
275.36,822
290.39,1016
270.57,4631
264.01,512
286.58,4976
262.59,954
276.82,2982
273.86,5222
266.42,3951
293.22,626
269.74,1834
273.94,4279
291.48,416
275.95,2730
291.29,2863
294.69,826
276.6,335
284,5173
273.08,551
302.56,6196
273.28,2174
284.84,1111
290.56,3136
273.34,5608
249.71,2639
284.38,966
296.59,4446
258.7,374
294.85,5325
288.55,6067
279.36,5017
281.15,3659
290.48,1127
273.56,5086
295.17,4564
282.07,340
278.02,5641
286.35,6060
291.21,4822
288.68,709
290.68,6007
290.47,3759
288.02,6518
266.18,667
260.79,335
287.49,376
293.65,6566
295.3,2457
299.6,4383
288.14,1469
275.01,657
271.55,2914
282.36,4651
294.95,947
283.93,358
289.35,2609
293.41,5438
274.95,5681
280.01,5239
300.95,5734
300.69,3370
282.36,4333
285.62,2384
271.82,593
284.63,2935
254.48,1328
292.69,2716
282.01,5915
297.85,1725
265.82,4583
296.85,4610
289.02,3773
270.84,5592
260.86,353
299.78,3551
276.73,2676
276.62,980
260,1916
295.57,4828
273.37,6710
289.55,3299
274.65,591
257.92,4098
255.76,4474
276.61,4386
261.21,5290
290.11,5213
291.7,5185
288.63,5412
270.47,1103
255.72,483
286.68,5356
290.49,330
284.23,4199
272.19,5806
286.45,850
271.55,1488
268.15,594
262.02,5715
277.3,6017
271.41,331
271.86,3745
296.34,5371
291.49,4888
262.65,5122
261.61,4896
288.65,6000
263.11,4499
278.5,1472
266.93,4305
265.86,767
274.04,4795
294.15,6548
275.84,2732
276.44,2653
275.15,325
291.29,2890
287.79,5370
276.58,4904
254.9,4637
280.81,2798
267.64,6410
277.46,2058
284.95,305
251.29,735
255.82,759
275.15,309
289.38,3075
262.9,876
286.49,355
289.86,949
267.37,3225
289.07,3972
269.42,2585
292.68,4720
283.44,2959
248.12,2003
283.29,5236
279.42,526
268.55,342
281.69,591
274.17,306
274.72,2176
289.3,313
288.74,3864
297.11,5433
287.92,4599
280.15,798
269.39,3130
276.15,5391
281.62,1693
276.65,3222
294.73,4137
275.42,4948
264.15,658
272.96,2573
264.67,5370
299.52,5996
296.03,5146
269.51,1461
267.82,6456
299.3,6160
288.88,2940
268.35,1307
286.09,2963
265.48,3330
294.04,378
259.6,5554
282.95,955
296.57,4632
287.09,4399
256.94,3410
304.51,5387
274.86,2665
298.28,729
271.49,5900
296.04,4394
273.68,5783
274.08,5418
284.49,443
281.21,2723
299.75,5138
292.9,4977
252.13,3109
290.81,2373
295.95,4621
254.59,922
285.57,4613
262.31,2933
292.7,674
280.63,4695
291.63,648
297.22,4971
294.87,346
304.43,3953
269.36,4787
276.29,5668
278.15,1962
289.55,355
292.6,4183
255.78,326
278.63,245
284.03,5874
287.18,3208
282.3,3054
299.5,4675
297.27,3575
293.82,1482
290.53,5455
275.48,2029
289.48,859
257.75,5017
296.57,3919
281.43,850
294.48,4415
273.82,2844
292.15,4621
273.55,3400
292.8,6068
268.9,821
282.15,469
289.67,444
273.94,3469
286.22,4349
278.01,4865
289.51,474
303.24,5159
290,404
275.95,5681
281.62,2980
266.58,1821
266.08,348
294.96,2915
292.09,388
289.82,6866
269.49,2673
276.21,2779
261.28,4491
290.82,2854
275.15,366
276.68,2352
297.93,4759
293.43,847
274.08,4119
266.62,3215
248.8,1713
256.28,2676
295.22,4940
288.35,6299
268.34,950
291.35,5266
291.01,5864
296,6414
274.99,6255
290.81,580
293.82,2336
274.75,2775
284.55,3141
283.79,2917
267.43,730
270.06,4665
287.64,5147
294.33,2994
253.27,2264
262.08,2163
294.43,4238
267.65,386
292.02,196
290.36,410
282.36,5429
266.64,4722
274.49,5211
265.94,3900
292.82,814
287.74,333
280.07,743
292.89,2913
254.19,5158
265.61,792
266.62,825
286.52,957
294.4,480
286.62,4991
276.87,1656
254.82,3601
290.12,4413
287.29,4557
273.75,2334
288.77,2227
271.42,3556
300.43,4253
301.43,5636
287.3,546
260.15,3685
256.95,5442
281.49,2914
280.77,6445
287.61,6127
270.97,925
285.28,3710
262.09,1753
259.41,490
278.5,4234
291.61,5145
295.38,4257
277.64,4621
295.72,350
293.88,5133
287.01,5198
296.75,2709
270.68,6600
275.87,2211
277.47,514
274.48,1225
262.43,5876
288.94,4306
294.77,5785
299.92,4369
285.43,904
290.97,301
284.02,4564
267.22,4564
284.35,2717
283.17,312
247.81,784
294.17,867
272.79,5965
279.41,4961
278.15,2877
278.49,647
290.65,1045
258.59,613
263.02,6274
291.55,499
295.61,2900
288.86,6960
264.41,4817
289.94,966
291.51,5050
276.51,372
267.72,1107
290.48,2845
275.82,3775
285.63,352
297.13,3602
276.15,5953
291.62,6058
297.407,314
267.22,278
269.84,5587
285.28,5314
292.88,1711
296.76,2556
274.97,4764
266.93,2789
269.58,3271
284.68,550
299.95,2696
272.97,1054
251.43,439
272.29,4829
277.08,5567
276.07,2700
268.15,5412
264.44,979
273.48,4037
244.82,417
285.15,5296
274,249
290.23,3137
284.29,350
295.63,2921
290.06,6643
285.82,307
274.95,3172
274.8,644
265.41,4048
291.95,5538
276.02,2540
271.87,2716
269.63,4991
297.04,534
272.59,3933
291.14,5377
274.88,851
262.54,600
295.39,5531
290.63,5916
274.67,682
259.69,5450
272.56,4699
287.37,2836
288.54,6516
289.16,2651
278.89,4215
289.99,5443
285.41,1642
292.07,2821
289.48,2372
272.03,371
295,2974
297.84,4239
287.29,6408
289.5,5793
279.22,2450
298.78,5626
301.59,6530
292.43,250
290.92,4473
274.39,431
274.95,3594
287.69,3024
280.21,532
304.68,6426
299.58,2780
280.08,364
293.95,3287
264.76,3099
273.08,1272
278.22,313
287.16,3022
273.75,2650
296.03,3475
284.18,337
276.19,245
257.08,4739
267.57,5326
284.43,6284
287.21,635
297.2,4590
259.37,944
301.13,6146
272.135,1293
290.82,3897
282.36,4961
296.39,2694
261.79,4567
288.15,2029
278.44,4749
270.72,5001
273.01,5224
280.02,4402
273.65,2407
274.54,4827
301.08,4969
293.38,2610
290.57,1236
302.588,4414
297.45,3360
268.79,706
272.54,4200
290.53,1356
266.08,3935
301.65,6346
269.15,5049
255.19,3457
294.54,358
283.15,4407
265.41,450
272.43,889
275.93,2579
268.93,4010
282.56,2763
273.02,1930
270.57,4317
278.03,5703
293.9,5267
275.36,3096
286.69,1511
289.46,5153
285.01,1513
294.58,5952
276.23,5856
299.63,4753
283.96,5587
286.75,1092
259.15,2847
298.68,4873
283.94,3108
264.43,2578
264.15,4924
286.62,4823
272.02,3781
274.02,2010
275.91,345
267.61,390
266.49,4766
270.89,2677
295.38,1350
299.59,3700
272.22,2906
276.45,2999
270.24,972
284.25,6597
283.97,4254
274.02,300
255.8,3937
300.31,4725
293.78,4637
275.34,4853
292.81,2139
277.35,2300
294.02,2495
274.15,4445
272.21,5230
289.4,5588
292.07,3688
293.72,3231
289.51,1513
293.15,1183
281.83,6156
289.02,814
275.22,2656
269.95,3022
283.29,3199
272.63,1190
280.66,5368
259.68,722
297.49,1040
292.38,1752
296.46,4910
289.67,3319
283.36,333
283.56,4893
290.41,5144
295.34,4256
271.07,5454
251.77,5971
250.63,458
292.32,709
285.62,1695
282.45,4121
264.21,342
274.88,5104
292.28,5865
294.95,877
279.68,4518
285.41,4986
270.35,5144
279.72,2983
287.6,2924
276.01,3169
281.85,6083
287.35,4882
250.86,205
292.06,4926
274.22,5139
274.66,5041
268.04,1972
295.12,1233
272.56,3293
267.25,267
269.28,674
294.64,719
290.22,1167
287.7,5881
288.07,336
281.15,5565
294.58,4459
293.99,4159
292.56,356
258.92,5036
260.74,2990
271.09,6182
262.09,4848
299.48,3661
289.55,4925
291.42,4219
261.5,660
280.28,773
301.68,6245
268.86,4039
282.36,2614
288.35,2925
280.92,5320
269.47,5045
299.65,2190
298.16,6354
272.08,3865
297.94,4298
285.22,4675
296.21,5189
264.21,4748
288.31,906
271.15,3831
295.74,3154
268.039,933
291.55,6494
299.45,4147
281.43,3248
284.94,5089
298.17,4779
270.98,5610
294.08,2640
269.03,6381
293.36,4752
288.27,5147
295.58,4081
289.01,3690
283.56,241
296.88,5947
271.35,5619
274.75,2704
260.25,6413
293.74,2627
253.34,3793
262.21,4718
293.46,2864
292.64,2322
288.62,1318
274.08,5619
295.03,556
273.2,4608
257.22,3025
288.72,321
292.12,2306
272.439,1523
283.168,259
275.15,2142
272.26,365
288.44,1253
281.79,4490
291.11,847
286.56,4928
271.35,1789
275.72,5478
265.62,399
278.95,4499
285.74,3540
263.02,5263
289.42,3514
274.86,327
266.24,687
273.28,900
292.88,658
261.93,5428
263.69,3301
296.41,4652
299.01,5644
296.6,3782
292.28,4894
287.63,261
258.52,647
274.75,6228
300.54,1660
281.49,352
278.07,5426
270.86,889
271.68,4289
302.9,4571
275.09,3311
282.89,258
294.8,1001
275.55,245
299.81,4957
268.29,481
288.18,888
290.13,6188
275.69,289
267.28,2884
268.89,1911
273.09,775
291.38,4252
295.04,4497
293.25,2452
276.793,1106
297.44,2910
270.28,5188
282.84,5868
282.46,4718
299.07,2338
262.53,831
295.65,367
271.62,3843
292.74,4313
282.11,4389
271.01,6122
296.48,6479
289.02,2588
273.8,4933
266.17,797
271.75,3761
273.01,5033
292.58,4936
298.61,1920
290.06,3516
293.72,5146
302.95,5853
281,904
248.66,2922
278.65,551
287.1,721
272.48,869
272.59,340
294.44,5773
260.79,2131
260.14,397
295.08,4834
278.88,760
277.93,5285
250.68,330
269.29,1357
274.5,4819
286.55,5014
291.15,1209
289.08,632
292.04,4125
287.15,2894
266.99,2566
274.49,4229
285.07,5385
275.86,5835
255.22,3746
292.32,278
278.35,351
282.55,628
289.81,448
291.05,6478
277.17,358
298.11,5079
282.14,929
283.36,3302
286.42,5652
258.17,1922
280.38,4755
285.71,923
266.07,4663
296.8,5555
301.51,5558
294.9,3146
292,2967
280.13,870
286.22,4648
291.46,439
284.55,598
284.92,1042
267.51,759
286.72,716
299.88,2778
283.81,2659
248.88,359
289.58,5049
276.87,4426
251.46,3576
292.28,3614
269.35,2885
286.41,2795
271.95,1580
290,919
291.2,5439
280.51,3043
292.28,430
302.61,5920
275.87,4760
286.15,1802
293.85,3503
286.4,4442
262.15,5385
299.28,3295
272.62,3658
296.65,3384
251.67,4481
285.08,5787
274.42,432
268.77,4463
301.42,4779
302.09,4122
284.478,2405
290.55,5814
278.29,2759
295.61,6700
291.24,3221
261.93,631
275.68,1476
289.07,2996
283.43,2531
271.53,3876
292.51,1168
268.02,353
294.28,5948
276.29,2539
294.28,336
274.02,2010
286.55,3512
283.47,3452
273.95,378
293.22,5205
269.3,5446
265.72,2449
275.02,1173
288.79,4534
288.01,4761
294.41,355
264.87,5729
283.86,2003
269.44,3181
295.01,4073
276.34,3149
275.68,3604
292.03,809
271.51,1155
286.14,4679
276.02,2721
290.89,4782
281.43,1265
299.28,5348
296.15,2966
268.36,3467
272.61,332
295.75,1311
294.08,832
286.15,6587
293.07,4681
284.35,6561
300.48,4229
272.38,4407
294.9,5157
296.71,1290
256.06,1746
261.95,1471
279.35,5062
262.75,6278
295.01,5692
275.95,5316
277.57,365
274.75,4802
292.44,304
295.01,5253
287.37,493
282.15,451
288.57,3268
278.25,467
276.66,3702
266.32,3111
278,755
275.02,561
279.95,334
288.62,3144
296.78,5343
285.46,6182
295.35,5019
295.08,321
290.08,341
280.54,1231
292.22,3711
299.07,4375
295.02,863
275.63,4230
297.92,5788
281.38,3015
297.09,3464
285.67,5328
269.08,2885
283.8,4702
264.49,1933
295.93,5244
274.59,6703
267.32,355
276.34,4877
254.89,882
271.8,312
295.62,6591
287.82,3471
266.15,4368
278.036,4257
274.3,2823
291.93,394
291.36,440
287.35,2699
269.59,2559
288.69,588
302.36,6112
295.35,1881
279.89,5606
288.62,2783
266.02,3553
289.39,4420
281.26,2908
253.88,4443
290.57,4683
289.81,6063
294.25,3580
277.07,2783
272.82,2937
273.01,787
285.24,304
274.65,3089
271.04,252
278.34,5589
265.33,4332
285.39,5899
270.95,1255
288.394,732
291.03,4384
257.93,487
287.07,5078
295.9,3201
280.189,1086
288.86,3843
268.93,3401
247.15,3735
273.18,5875
254.96,2843
284.58,2620
278.536,4961
301.62,2886
283.58,6559
271.88,3190
268.31,2389
294.98,5674
257.48,743
297.15,4794
283.62,5017
263.75,5025
291.59,451
289.58,3006
302.34,3910
292.16,5519
280.22,4278
289.75,912
285.78,756
273.15,2411
273.98,438
286.68,5473
274.65,4321
272.08,4977
280.15,253
293.62,369
293.56,2494
263.76,3232
293.11,4879
279.8,1401
268.08,5433
279.07,6193
267.44,4869
294.49,4499
289.77,400
297.69,2796
292.72,5879
293.02,4500
287.03,2838
247.8,3885
293.9,5267
281.21,5958
273.42,3598
295.51,615
291.47,368
277.86,5586
281.516,2413
277.436,579
293.79,4841
265.15,5130
256.58,887
292.32,843
275.86,5691
255.38,3892
274.06,539
295.51,1904
284.311,3779
283.88,2381
300.36,5797
274.15,4056
277.52,649
284.29,538
276.07,4652
276.15,5123
285.51,5970
292.28,5585
285.44,1989
294.88,5073
300.27,3933
288.22,4742
297.888,1181
280.82,2606
294.56,5090
293.15,2859
276.65,6970
269.08,2416
301.83,3080
301.35,2460
278.16,341
294.2,3391
257.85,624
281.44,1620
267.74,355
285.98,5264
277.15,633
301.46,5549
286.46,4982
287.93,2587
283.79,2774
293.318,4702
273.89,4629
282.51,2108
280.23,5307
287.35,951
257.82,2158
274.34,4544
264.64,442
269.78,318
297.25,3368
298.88,4548
265.44,5306
300.02,5745
254.31,308
291.11,373
294.43,4238
279.29,339
258.78,5727
268.99,3246
271.72,1763
293.63,538
280.75,1753
267.72,2880
258.12,3310
279.56,780
276.08,4315
266.95,5701
289.08,313
292.04,2682
289.4,565
270.46,898
266.41,3767
282.73,6085
301.01,6642
288.62,4979
285.64,5116
273.88,2540
297.99,3946
271.69,5170
281.56,2107
268.5,779
270.62,1849
269.81,2984
284.08,2580
250.69,520
265.29,5480
291.31,4975
294.07,6461
291.7,4249
271.97,6076
275.4,555
281.88,6685
265.68,1738
300.65,4668
277.4,4113
289.6,1712
259.6,306
288.07,402
281.86,258
279.18,857
275.14,838
277.68,2956
267.61,3030
300.87,4352
263.51,270
289.32,1501
295.4,4254
288.73,513
296.48,4468
287.4,4676
294.55,3629
267.36,4490
273.76,357
263.24,378
292.6,5157
294.99,5803
297.21,281
300.48,4390
288.63,1896
272.44,490
283.74,6267
271.47,911
287.31,6659
295.36,5528
273.37,4479
259.14,4687
275.35,492
287.27,2263
298.01,2507
271.84,4572
294.11,407
289.15,4379
282.55,910
279.26,368
282.09,349
290.48,391
291.74,4197
267.22,285
278.38,5765
256.5,5909
276.47,307
288.03,293
278.35,2700
294.65,5220
294.99,873
291.93,3181
299.25,4027
293.53,3160
286.77,5339
293.495,4426
289.5,5423
289.49,358
267.88,992
262.35,1854
295.02,2863
292.87,4351
275.02,3442
296.95,4866
276.56,261
269.06,1482
282.59,2576
274.66,5041
279.8,2467
297.36,6176
258.29,230
290.86,2665
299.09,3337
258.61,4625
290.96,286
272.65,514
265.25,2638
297.83,4317
289.4,754
295.67,5922
291.16,307
271.83,1330
278.23,4704
291.79,2616
293.69,3323
266.19,1231
260.55,4828
276.15,4820
292.56,1657
290.75,4477
259.25,6234
299.38,5343
291.18,474
273.9,5393
305.02,5245
295.92,4819
278.31,4670
272.42,5146
284.86,535
291.87,3150
285.65,655
297.37,4374
294.14,487
294.16,6006
291.79,2912
294.55,4305
292.66,4761
276.88,5174
267.35,408
294.43,2083
271.93,5535
254.09,565
266.58,3571
290.58,3231
275.63,398
288.15,554
258.44,5861
278.45,5866
279.27,5681
256.16,6319
294.88,4652
269.85,6395
281.469,4710
274.42,5784
273.48,400
292.7,2468
271.95,555
271.03,741
289.34,5496
277.09,283
294.68,1676
275.093,2738
293.6,2700
291.42,4788
291.31,4975
299,5457
272.61,1407
270.81,2131
287.153,2147
265.21,5296
276.15,2768
285.87,586
296.15,2497
258.3,3562
294.35,3030
269.84,1720
290.78,2805
256.3,6125
294.82,2627
271.03,2472
277.83,4856
249.52,510
293.09,3477
286.28,4300
274.57,2796
263.29,4336
257.41,4100
274.4,385
275.08,530
271.71,2433
270.22,5240
274.42,5385
269.21,4621
263.26,2977
296.02,5145
296.28,6046
280.02,5783
261.71,4787
300.73,2791
287.49,3160
275.21,2931
268.64,2648
270.82,3842
274.72,3374
263.49,247
295.58,317
252.22,781
277.9,708
298.64,463
261.75,4515
284.22,1930
273.82,6009
292.06,1926
297.82,2947
294.25,5216
288.37,6510
273.79,1892
295.02,4836
289.9,5722
275.01,4793
261.09,273
255.64,442
278.63,5020
271.88,3259
265.41,699
298.46,1102
282.58,4549
276.49,6218
276.15,6137
281.93,4525
267.73,1112
261.24,5908
267.86,6038
265.6,574
296.15,1189
285.64,958
267.4,365
272.22,5717
270.51,334
278.72,2018
266.02,699
289.47,1259
284.38,3235
283.36,4636
273.08,4724
291.15,4171
267.95,1269
281.915,799
273.25,1623
305.45,3943
276.96,2479
273.25,4880
293.75,4724
298.19,97
285.08,2683
295.28,5288
278.87,2835
267.79,931
289,5427
264.62,3812
274.46,3175
289.17,5760
292.19,2245
288.99,3979
286.82,6459
276.01,4598
303.04,5007
281.81,5047
275.45,2539
291.32,4347
293.96,546
274.02,867
270.15,979
294.16,6006
274.68,685
276.15,839
297.86,4998
257.23,2162
290.15,6176
300,4360
279.28,506
261.03,4790
291.08,3503
264.88,716
276.58,6218
299.17,2360
300.72,5174
296.58,2105
272.58,3594
260.4,1693
296.7,2991
270.15,2800
297.49,5403
290.74,427
294.595,4088
276.79,4882
264.65,1616
271.58,2744
270.94,642
294.25,4040
290.61,1012
278.631,2401
291.5,4507
293.25,2527
260.95,2725
281.83,3429
288.12,3918
266.74,316
288.14,5859
279.84,5704
275.48,4791
267.4,4492
257.94,2461
291.46,1024
291.74,4391
282.16,5640
271.15,836
286.67,3210
286.58,5355
294.73,1525
273.3,4492
266.49,3441
273.95,494
269.08,265
274.48,935
286.82,598
284.82,2527
267.69,1198
258.59,3471
259.15,259
280.43,2687
295.08,5632
282.2,2486
295.45,3066
269.13,5634
274.61,3034
296.8,6660
249.48,748
273.72,4235
295.01,2842
279.14,599
267.15,641
271.15,5084
286.07,2655
279.22,4550
275.36,2540
287.78,404
299.15,2091
285.62,5043
287.82,5316
281.14,287
303.69,4544
263.62,3607
290.09,1507
260.63,5730
264.19,1880
297.87,4358
261.86,6585
289.37,1468
289.74,4695
271.97,4548
281.11,3780
276.22,4323
280.19,6304
297.7,3032
255.89,277
294.15,6230
304.5,6172
274.87,2946
279.87,5730
286.42,906
272.62,1695
292.2,859
254.92,4345
265.41,3061
278.13,4179
286.88,2049
278.69,4054
285.47,4481
274.85,3076
255.22,5589
277.44,5211
272.01,2702
273.22,5109
274.49,4622
255.03,6006
297.81,3705
277.96,573
275.65,325
290.69,435
291.08,373
270.95,1455
293.42,1333
256.2,5550
270.01,361
286.46,2202
298.99,5194
293.84,2713
287.65,1625
295.5,585
264.44,743
295.29,4918
289.77,1848
262.74,2137
293.13,6720
293.66,4257
290.61,808
289.72,4739
259.1,4177
286.85,340
294.2,3324
286.82,4720
251.15,3869
260.86,432
286.93,1065
261.44,2459
296.59,4469
300.96,3654
282.49,4061
294.63,5067
287.81,4839
285.08,4666
289.36,4573
289.88,1726
278.72,629
291.94,4393
261.81,1902
267.43,3490
272.77,6132
271.64,280
273.9,347
294.88,4130
280.37,3356
284.73,375
288.09,5573
274.65,6501
298.67,4569
280.88,5110
268.04,2098
294.06,2883
277.35,849
288.13,3104
264.58,2384
272.6,783
254.63,4672
275.86,4747
293.68,3778
292.36,363
287.63,5979
306.33,6327
267.254,1296
263.41,804
275.75,4268
275.93,4170
295.53,1215
269.64,6716
289.22,269
277.38,5142
293.8,2594
290.21,6017
297.81,3914
284.11,6455
259.17,1986
276.97,972
287.06,5713
293.82,1771
295.57,4887
289.15,2229
275.08,751
292.6,2945
290.15,4859
282.5,4201
271.04,4906
284.25,6052
292.3,2902
299.3,4812
276.58,5170
255.22,4932
299.93,4651
296.48,5201
289.53,5332
285.21,856
295.79,5966
256.58,4564
296.06,4167
261.31,1197
269.41,721
287.24,4567
291.95,3262
258.51,5709
270.08,4679
273,6536
261.02,401
295.54,4944
266.84,2121
270.79,5060
288.019,850
282.6,846
260.78,927
290.94,495
262.29,519
282.2,4729
258.15,1540
268.37,4362
252.43,290
258.95,6153
276.8,427
281.28,699
292.803,2963
271.9,2372
279.46,1938
290.43,5134
291.83,2776
287.09,2729
266.48,4145
285.89,336
270.82,2846
264.87,5729
295.88,340
291.79,4539
295.01,2911
287.96,2793
270.64,355
284.86,1974
270.79,4183
299.52,5484
269.78,316
273.52,2560
286.17,4378
296.85,4172
290.61,599
275.65,5167
291.34,3089
291.88,5067
251.09,4055
293.43,5926
273.95,3215
291.79,1033
287.39,840
270.969,5589
270.61,5212
289.16,829
285.44,1989
290.87,3013
289.28,4960
263.34,2060
273.57,6731
265.62,3196
293.54,3487
264.03,4454
262.32,218
300.09,4303
278.3,6657
279.9,462
271.3,4025
265.51,4243
263.86,3361
276.15,299
274.48,529
297.99,4581
292.63,3017
299.47,4332
272.68,6000
259.72,6235
292.11,5349
298.16,4581
288.84,5705
300.4,6171
273.37,4368
295.89,4040
265.03,5939
293.86,6015
280.01,872
268.28,3347
279.08,2887
286.82,2764
290.11,6304
267.53,4995
300.04,631
259.49,1887
274.91,3142
292.87,4914
284.29,4804
293.62,2945
276.22,1139
298.13,4921
286.87,5441
279.31,5508
295.27,1
279.15,851
289.48,4503
301.62,4263
292.04,5860
266.31,3080
274.91,5614
267.55,4484
261.01,1997
271.35,5767
275.55,471
295.86,5182
