holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,traffic_volume
None,281.69,0,0,90,Clouds,6628
None,280.57,0,0,90,Clouds,5534
None,280.02,0,0,75,Clouds,5403
None,280.11,0,0,75,Clouds,4770
None,280,0,0,90,Clouds,5217
None,280.53,0,0,90,Clouds,5870
None,281.43,0,0,75,Clouds,5967
None,281.78,0,0,90,Clouds,6108
None,281.91,0,0,90,Clouds,6128
None,281.73,0,0,90,Clouds,6069
None,281.42,0,0,90,Clouds,6169
None,280.87,0,0,90,Clouds,5384
None,280.15,0,0,90,Clouds,4063
None,279.78,0,0,90,Clouds,3364
None,279.65,0,0,75,Clouds,2971
None,279.22,0,0,40,Clouds,2450
None,279.06,0,0,40,Clouds,1832
None,278.81,0,0,90,Clouds,1231
None,278.55,0,0,90,Clouds,718
None,278.59,0,0,90,Clouds,545
None,276.99,0,0,75,Clouds,411
None,276.35,0,0,20,Clouds,688
None,275.4,0,0,1,Clear,1352
None,275.17,0,0,1,Clear,2072
None,274.99,0,0,1,Clear,3342
None,275.09,0,0,40,Clouds,4258
None,276.88,0,0,20,Clouds,4861
None,278.04,0,0,20,Clouds,5191
None,279.08,0,0,40,Clouds,5669
None,280.12,0,0,75,Clouds,5074
None,280.25,0,0,75,Clouds,5025
None,280,0,0,75,Clouds,5153
None,279.06,0,0,90,Clouds,5024
None,278.91,0,0,90,Clouds,4779
None,278.39,0,0,90,Clouds,4362
None,278.16,0,0,90,Clouds,3860
None,278.16,0,0,90,Clouds,3160
None,277.93,0,0,90,Clouds,2992
None,276.9,0,0,90,Clouds,3202
None,276.34,0,0,75,Clouds,1941
None,276.11,0,0,75,Clouds,1233
None,275.73,0,0,90,Clouds,323
None,275.65,0,0,90,Clouds,312
None,275.51,0,0,75,Clouds,627
None,275.05,0,0,90,Clouds,1508
None,274.77,0,0,90,Clouds,1539
None,274.77,0,0,75,Clouds,2232
None,275.55,0,0,75,Clouds,4568
None,276.24,0,0,75,Clouds,4624
None,277.01,0,0,90,Clouds,4529
None,277.43,0,0,90,Clouds,5139
None,278.45,0,0,90,Clouds,6640
None,279.27,0,0,90,Clouds,6589
None,279.27,0,0,90,Clouds,4429
None,279.44,0,0,90,Clouds,4329
None,279.32,0,0,90,Clouds,3833
None,279.27,0,0,90,Clouds,4015
None,278.11,0,0,90,Clouds,3382
None,276.79,0,0,75,Clouds,2815
None,275.73,0,0,90,Clouds,2110
None,274.88,0,0,75,Clouds,1555
None,273.92,0,0,20,Clouds,959
Columbus Day,273.08,0,0,20,Clouds,455
None,272.62,0,0,20,Clouds,336
None,271.78,0,0,1,Clear,265
None,271.05,0,0,1,Clear,314
None,270.63,0,0,1,Clear,779
None,270.33,0,0,1,Clear,2571
None,269.61,0,0,20,Clouds,5563
None,270.01,0,0,20,Clouds,6676
None,271.23,0,0,20,Clouds,5966
None,273.71,0,0,20,Clouds,4832
None,276.77,0,0,20,Clouds,4395
None,279.47,0,0,20,Clouds,4411
None,279.84,0,0,1,Clear,4648
None,282.34,0,0,40,Clouds,4602
None,282.94,0,0,40,Clouds,5125
None,283.48,0,0,1,Clear,5502
None,284.33,0,0,1,Clear,5979
None,284.48,0,0,40,Clouds,5663
None,284.23,0,0,40,Clouds,4259
None,281.99,0,0,20,Clouds,3069
None,279.81,0,0,1,Clear,2378
None,279.35,0,0,1,Clear,2030
None,278.9,0,0,1,Clear,1400
None,278.46,0,0,1,Clear,917
None,277.78,0,0,1,Clear,515
None,277.27,0,0,1,Clear,302
None,277.47,0,0,1,Clear,251
None,276.97,0,0,20,Clouds,798
None,276.52,0,0,40,Clouds,2678
None,276.6,0,0,40,Clouds,5733
None,277.31,0,0,75,Clouds,6449
None,278.38,0,0,90,Clouds,5765
None,279.35,0,0,90,Clouds,5599
None,281.37,0,0,90,Clouds,4534
None,283.11,0,0,90,Clouds,4691
None,284.08,0,0,75,Clouds,5067
None,285.14,0,0,75,Clouds,5030
None,286.35,0,0,90,Clouds,5300
None,287.23,0,0,100,Rain,5777
None,288.53,0,0,90,Clouds,6349
None,290.37,0,0,90,Clouds,6127
None,290.13,0,0,90,Clouds,4460
None,288.86,0,0,75,Clouds,3418
None,287.36,0,0,90,Clouds,2775
None,285.11,0,0,90,Clouds,2306
None,283.46,0,0,90,Clouds,1846
None,282.45,0,0,90,Clouds,947
None,281.88,0,0,90,Clouds,494
None,281.78,0,0,90,Clouds,332
None,281.09,0,0,75,Clouds,261
None,281.17,0,0,90,Clouds,361
None,281.25,0,0,92,Clear,5875
None,281.25,0,0,99,Rain,6793
None,281.25,0,0,99,Drizzle,6793
None,280.1,0,0,99,Rain,6283
None,280.1,0,0,99,Drizzle,6283
None,279.61,0,0,99,Rain,5680
None,279.61,0,0,99,Drizzle,5680
None,279.67,0,0,99,Clear,4632
None,280.19,0,0,1,Clear,4887
None,282.09,0,0,75,Clouds,5030
None,282.26,0,0,75,Clouds,5067
None,282.05,0,0,90,Clouds,5227
None,281.59,0,0,90,Clouds,5610
None,281.23,0,0,81,Clear,6286
None,282.6,0,0,81,Clear,4775
None,282.6,0,0,81,Clear,3340
None,282.6,0,0,81,Clear,3013
None,282.6,0,0,81,Clear,2603
None,282.6,0,0,81,Clear,1910
None,282.6,0,0,81,Clear,1037
None,273.9,0,0,1,Clear,347
None,274.4,0,0,75,Clouds,350
None,274.05,0,0,75,Clouds,850
None,273.71,0,0,40,Clouds,2791
None,272.66,0,0,1,Clear,5809
None,272.65,0,0,1,Clear,6798
None,272.52,0,0,1,Clear,6304
None,275.19,0,0,20,Clouds,5291
None,275.34,0,0,1,Clear,4638
None,284.1,0,0,50,Clear,5557
None,284.1,0,0,50,Clear,5818
None,283.78,0,0,75,Clouds,6272
None,283.52,0,0,75,Clouds,5944
None,283.32,0,0,90,Clouds,4949
None,282.06,0,0,90,Clouds,3511
None,281.95,0,0,90,Clouds,3039
None,281.81,0,0,90,Clouds,2679
None,282.16,0,0,90,Clouds,2094
None,282.53,0,0,90,Clouds,1284
None,283.91,0,0,90,Clouds,630
None,284.64,0,0,90,Clouds,410
None,284.61,0,0,90,Clouds,331
None,283.18,0,0,72,Drizzle,372
None,282.26,0,0,72,Rain,739
None,280.77,0,0,72,Drizzle,2561
None,278.53,0,0,75,Clouds,5586
None,277.64,0,0,75,Clouds,6992
None,277.9,0,0,90,Clouds,5860
None,278.18,0,0,90,Clouds,5230
None,279.29,0,0,75,Clouds,4864
None,280.45,0,0,75,Clouds,5146
None,280.95,0,0,40,Clouds,5526
None,281.74,0,0,40,Clouds,5383
None,281.84,0,0,75,Clouds,5758
None,282.45,0,0,75,Clouds,5889
None,282.2,0,0,75,Clouds,6057
None,281.54,0,0,40,Clouds,6028
None,280.21,0,0,20,Clouds,5257
None,282.2,0,0,56,Clear,1897
None,272.58,0,0,1,Clear,1335
None,272.06,0,0,1,Clear,769
None,270.99,0,0,1,Clear,570
None,270.29,0,0,20,Clouds,413
None,269.48,0,0,1,Clear,399
None,269.27,0,0,1,Clear,740
None,268.91,0,0,1,Clear,1420
None,268.98,0,0,75,Clouds,2220
None,269.23,0,0,40,Clouds,3479
None,272.61,0,0,40,Clouds,4546
None,276.78,0,0,20,Clouds,4579
None,279.22,0,0,1,Clear,4438
None,280.35,0,0,1,Clear,4623
None,281.81,0,0,1,Clear,4440
None,283.05,0,0,1,Clear,4495
None,283.96,0,0,1,Clear,4483
None,284.53,0,0,1,Clear,4591
None,284.44,0,0,1,Clear,4477
None,283.64,0,0,1,Clear,4221
None,281.85,0,0,20,Clouds,3672
None,281.38,0,0,1,Clear,3015
None,281.84,0,0,75,Clouds,2769
None,282.23,0,0,90,Clouds,2875
None,282.18,0,0,90,Clouds,1931
None,282.49,0,0,90,Clouds,1309
None,282.54,0,0,90,Clouds,870
None,282.58,0,0,90,Clouds,654
None,282.23,0,0,90,Clouds,364
None,282.08,0,0,90,Clouds,262
None,282.23,0,0,90,Clouds,505
None,282.24,0,0,90,Clouds,861
None,282.24,0,0,90,Clouds,1132
None,282.24,0,0,57,Mist,1797
None,282.43,0,0,57,Drizzle,2685
None,282.43,0,0,57,Mist,2685
None,282.43,0,0,57,Haze,2685
None,282.33,0,0,57,Drizzle,3370
None,282.33,0,0,57,Mist,3370
None,282.82,0,0,57,Drizzle,3662
None,282.82,0,0,57,Mist,3662
None,283.33,0,0,57,Mist,4076
None,283.33,0,0,57,Rain,4076
None,283.33,0,0,57,Drizzle,4076
None,283.75,0,0,93,Rain,4128
None,283.75,0,0,93,Mist,4128
None,283.75,0,0,93,Drizzle,4128
None,284.09,0,0,93,Mist,4358
None,284.09,0,0,93,Rain,4358
None,284.09,0,0,93,Drizzle,4358
None,284.55,0,0,93,Mist,4342
None,284.55,0,0,93,Rain,4342
None,284.68,0,0,93,Mist,4234
None,284.64,0,0,93,Rain,4271
None,284.64,0,0,93,Mist,4271
None,284.4,0,0,93,Mist,4080
None,284.17,0,0,93,Mist,3453
None,284.03,0,0,93,Mist,2718
None,283.58,0,0,93,Mist,2439
None,283.04,0,0,93,Mist,1819
None,281.95,0,0,93,Mist,1002
None,281.95,0,0,93,Fog,1002
None,281.61,0,0,93,Mist,542
None,281.61,0,0,93,Fog,542
None,281.57,0,0,85,Fog,303
None,281.42,0,0,85,Fog,239
None,281.29,0,0,85,Mist,335
None,281.29,0,0,85,Fog,335
None,281.02,0,0,85,Mist,810
None,281.02,0,0,85,Fog,810
None,280.82,0,0,85,Mist,2606
None,280.82,0,0,85,Fog,2606
None,280.39,0,0,85,Mist,5714
None,280.19,0,0,100,Mist,6798
None,279.82,0,0,100,Mist,6114
None,279.75,0,0,100,Mist,5094
None,280.07,0,0,100,Mist,4473
None,280.32,0,0,90,Clouds,4529
None,281.72,0,0,100,Clear,4823
None,284.01,0,0,40,Clouds,4872
None,285.88,0,0,1,Clear,5238
None,286.87,0,0,1,Clear,5584
None,287.6,0,0,20,Clouds,6246
None,287.27,0,0,20,Clouds,5957
None,286.18,0,0,20,Clouds,4535
None,285.2,0,0,75,Clouds,3234
None,284.68,0,0,75,Clouds,2677
None,284.49,0,0,90,Clouds,2077
None,283.54,0,0,20,Clouds,1380
None,282.33,0,0,75,Clouds,927
None,281.21,0,0,20,Clouds,500
None,279.87,0,0,1,Clear,324
None,278.93,0,0,1,Clear,257
None,277.91,0,0,1,Clear,354
None,277.21,0,0,1,Clear,769
None,276.61,0,0,1,Clear,2769
None,276.11,0,0,1,Clear,5789
None,274.81,0,0,20,Clouds,7055
None,274.99,0,0,20,Clouds,6408
None,277.91,0,0,20,Clouds,5254
None,280.71,0,0,20,Clouds,4547
None,283.85,0,0,20,Clouds,4784
None,286.01,0,0,40,Clouds,5015
None,286.31,0,0,1,Clear,5057
None,288.15,0,0,75,Clouds,5430
None,289.15,0,0,75,Clouds,5813
None,288.99,0,0,75,Clouds,6496
None,288.86,0,0,75,Clouds,6429
None,288.16,0,0,90,Clouds,5142
None,287.28,0,0,68,Rain,3311
None,287.04,0,0,90,Clouds,2777
None,286.9,0,0,90,Clouds,2331
None,287.09,0,0,90,Clouds,1767
None,287.09,0,0,90,Clouds,1093
None,286.89,0,0,75,Clouds,554
None,286.93,0,0,75,Clouds,333
None,286.93,0,0,90,Clouds,267
None,287.07,0,0,90,Clouds,358
None,286.56,0,0,75,Clouds,777
None,285.91,0,0,90,Clouds,2732
None,285.29,0,0,90,Clouds,5637
None,284.92,0,0,75,Clouds,5564
None,285.35,0,0,75,Clouds,6274
None,285.72,0,0,100,Rain,5403
None,285.72,0,0,100,Rain,5403
None,287.09,0,0,75,Clouds,4680
None,288.31,0,0,75,Clouds,4642
None,288.61,0,0,1,Clear,4979
None,290.32,0,0,1,Clear,4851
None,291.36,0,0,1,Clear,4291
None,292.01,0,0,1,Clear,4714
None,292.61,0,0,1,Clear,6723
None,292.65,0,0,1,Clear,6180
None,290.52,0,0,40,Clouds,4843
None,288.35,0,0,40,Clouds,3435
None,286.72,0,0,40,Clouds,2921
None,285.49,0,0,40,Clouds,2763
None,284.22,0,0,20,Clouds,1930
None,283.8,0,0,20,Clouds,1160
None,283.72,0,0,20,Clouds,654
None,282.8,0,0,40,Clouds,374
None,282.32,0,0,99,Mist,301
None,282.38,0,0,99,Mist,397
None,282.76,0,0,90,Clouds,794
None,282.88,0,0,99,Mist,2564
None,284.18,0,0,75,Clouds,5358
None,284.69,0,0,90,Clouds,6441
None,285,0,0,90,Clouds,5536
None,286.9,0,0,99,Rain,5256
None,288.35,0,0,90,Clouds,4619
None,289.59,0,0,90,Clouds,5107
None,288.27,0,0,99,Rain,5147
None,286.41,0,0,90,Clouds,5283
None,285.96,0,0,90,Clouds,5704
None,287.04,0,0,90,Clouds,5887
None,287.18,0,0,90,Clouds,6307
None,286.94,0,0,90,Clouds,5953
None,286.01,0,0,90,Clouds,4519
None,284.67,0,0,100,Drizzle,3427
None,283.44,0,0,100,Rain,2921
None,282.51,0,0,100,Drizzle,2649
None,281.9,0,0,90,Clouds,2005
None,281.85,0,0,90,Clouds,1177
None,281.28,0,0,90,Clouds,699
None,280.97,0,0,87,Mist,436
None,280.44,0,0,87,Drizzle,353
None,280.44,0,0,87,Mist,353
None,280.02,0,0,87,Mist,399
None,279.79,0,0,87,Drizzle,720
None,279.79,0,0,87,Mist,720
None,279.79,0,0,87,Rain,720
None,279.79,0,0,87,Drizzle,720
None,279.74,0,0,87,Mist,2370
None,279.74,0,0,87,Rain,2370
None,279.65,0,0,87,Drizzle,5162
None,279.65,0,0,87,Mist,5162
None,279.65,0,0,87,Rain,5162
None,279.45,0,0,91,Mist,5777
None,279.45,0,0,91,Rain,5777
None,279.22,0,0,91,Drizzle,5235
None,279.22,0,0,91,Mist,5235
None,279.22,0,0,91,Rain,5235
None,279.35,0,0,91,Rain,4606
None,279.35,0,0,91,Mist,4606
None,279.92,0,0,91,Mist,4328
None,280.44,0,0,90,Clouds,4282
None,281,0,0,90,Clouds,4489
None,281.51,0,0,90,Clouds,4908
None,281.93,0,0,92,Mist,5620
None,281.94,0,0,92,Mist,5849
None,281.94,0,0,92,Drizzle,5849
None,282.27,0,0,92,Rain,4945
None,282.41,0,0,92,Rain,4619
None,282.21,0,0,90,Clouds,4479
None,281.69,0,0,75,Clouds,3804
None,281.26,0,0,90,Clouds,2908
None,280.66,0,0,92,Mist,2942
None,280.43,0,0,92,Drizzle,3077
None,280.43,0,0,92,Drizzle,3077
None,280.1,0,0,92,Mist,2051
None,280.1,0,0,92,Rain,2051
None,280.1,0,0,92,Drizzle,2051
None,280.06,0,0,92,Rain,1270
None,280.06,0,0,92,Rain,1270
None,280.28,0,0,96,Drizzle,773
None,280.28,0,0,96,Rain,773
None,280.38,0,0,96,Drizzle,589
None,280.62,0,0,96,Drizzle,432
None,280.62,0,0,96,Mist,432
None,280.91,0,0,96,Mist,401
None,280.91,0,0,96,Drizzle,401
None,280.91,0,0,96,Rain,401
None,280.96,0,0,96,Rain,759
None,280.96,0,0,96,Mist,759
None,280.96,0,0,96,Drizzle,759
None,281.13,0,0,96,Rain,1313
None,281.13,0,0,96,Mist,1313
None,281.13,0,0,96,Drizzle,1313
None,281.28,0,0,100,Rain,1824
None,281.28,0,0,100,Mist,1824
None,281.28,0,0,100,Drizzle,1824
None,281.19,0,0,100,Rain,2787
None,281.19,0,0,100,Mist,2787
None,281.19,0,0,100,Drizzle,2787
None,281.7,0,0,100,Rain,3713
None,281.7,0,0,100,Drizzle,3713
None,281.7,0,0,100,Mist,3713
None,281.7,0,0,100,Drizzle,3713
None,282.02,0,0,100,Rain,3815
None,282.02,0,0,100,Drizzle,3815
None,282.02,0,0,100,Mist,3815
None,282.02,0,0,100,Rain,3815
None,282.35,0,0,100,Rain,4339
None,282.35,0,0,100,Mist,4339
None,282.35,0,0,100,Drizzle,4339
None,282.71,0,0,100,Rain,4613
None,282.71,0,0,100,Mist,4613
None,282.71,0,0,100,Rain,4613
None,282.71,0,0,100,Rain,4613
None,283.31,0,0,48,Rain,4507
None,283.79,0,0,90,Clouds,4452
None,284.2,0,0,75,Clouds,4636
None,284.32,0,0,90,Clouds,4810
None,284.13,0,0,75,Clouds,5125
None,283.14,0,0,40,Clouds,4337
None,281.4,0,0,40,Clouds,3644
None,280.47,0,0,20,Clouds,3107
None,279.52,0,0,20,Clouds,2929
None,278.85,0,0,48,Mist,2865
None,278.12,0,0,48,Fog,2340
None,277.94,0,0,48,Mist,1372
None,275.93,0,0,60,Fog,1928
None,275.93,0,0,60,Mist,1928
None,284.09,0,0,75,Clouds,4695
None,282.6,0,0,75,Clouds,4335
None,281.72,0,0,90,Clouds,1583
None,281.26,0,0,90,Clouds,959
None,281.29,0,0,75,Clouds,498
None,281.01,0,0,75,Clouds,306
None,280.57,0,0,40,Clouds,259
None,280.54,0,0,75,Clouds,324
None,279.37,0,0,8,Mist,806
None,279.18,0,0,8,Mist,2622
None,279.05,0,0,8,Mist,5456
None,282.7,0,0,38,Clear,4324
None,286.17,0,0,40,Clouds,4378
None,288.61,0,0,75,Clouds,4639
None,290.59,0,0,20,Clouds,4546
None,292.21,0,0,75,Clouds,5006
None,293.56,0,0,75,Clouds,5361
None,293.43,0,0,40,Clouds,6101
None,293.4,0,0,40,Clouds,5781
None,291.47,0,0,20,Clouds,4272
None,289.17,0,0,20,Clouds,3091
None,287.28,0,0,1,Clear,2434
None,286.1,0,0,1,Clear,1984
None,285.45,0,0,75,Clouds,1383
None,285.33,0,0,90,Clouds,959
None,285.07,0,0,90,Clouds,511
None,284.58,0,0,90,Clouds,346
None,283.88,0,0,75,Clouds,253
None,283.55,0,0,75,Clouds,349
None,282.85,0,0,20,Clouds,807
None,282.42,0,0,20,Clouds,2669
None,282.13,0,0,75,Clouds,5210
None,281.85,0,0,40,Clouds,6083
None,281.85,0,0,20,Clouds,5790
None,283.07,0,0,75,Clouds,5484
None,284.53,0,0,90,Clouds,4407
None,285.6,0,0,75,Clouds,4725
None,286.63,0,0,90,Clouds,4826
None,286.75,0,0,99,Rain,4945
None,287.97,0,0,90,Clouds,5065
None,288.54,0,0,99,Thunderstorm,5618
None,288.72,0,0,90,Clouds,6094
None,288.53,0,0,90,Clouds,5844
None,288.16,0,0,90,Clouds,4649
None,287.59,0,0,90,Clouds,3180
None,287.21,0,0,90,Clouds,2963
None,286.29,0,0,90,Clouds,2450
None,285.7,0,0,90,Clouds,1613
None,285.61,0,0,90,Clouds,1021
None,285.37,0,0,99,Drizzle,580
None,285.37,0,0,99,Mist,580
None,285.51,0,0,90,Clouds,298
None,285.6,0,0,100,Haze,261
None,285.99,0,0,100,Mist,408
None,285.99,0,0,100,Haze,408
None,285.94,0,0,100,Mist,793
None,285.94,0,0,100,Thunderstorm,793
None,285.97,0,0,90,Mist,2643
None,285.97,0,0,90,Rain,2643
None,285.97,0,0,90,Thunderstorm,2643
None,285.73,0,0,90,Mist,5593
None,285.73,0,0,90,Thunderstorm,5593
None,285.73,0,0,90,Rain,5593
None,285.73,0,0,90,Thunderstorm,5593
None,285.5,0,0,90,Rain,5722
None,285.5,0,0,90,Mist,5722
None,285.55,0,0,90,Drizzle,5607
None,285.55,0,0,90,Mist,5607
None,285.55,0,0,90,Rain,5607
None,285.55,0,0,90,Thunderstorm,5607
None,285.93,0,0,90,Drizzle,5492
None,285.93,0,0,90,Mist,5492
None,285.93,0,0,90,Rain,5492
None,286.34,0,0,90,Mist,4542
None,286.82,0,0,90,Mist,4720
None,286.82,0,0,90,Fog,4720
None,288.36,0,0,90,Mist,4982
None,288.36,0,0,90,Haze,4982
None,288.36,0,0,90,Fog,4982
None,289.08,0,0,90,Haze,5032
None,289.08,0,0,90,Mist,5032
None,289.08,0,0,90,Fog,5032
None,289.88,0,0,90,Mist,5212
None,289.88,0,0,90,Haze,5212
None,290.24,0,0,90,Mist,5661
None,290.24,0,0,90,Haze,5661
None,290.24,0,0,90,Rain,5661
None,290.01,0,0,90,Mist,5812
None,289.62,0,0,90,Haze,5855
None,289.62,0,0,90,Mist,5855
None,289.61,0,0,90,Haze,4416
None,289.61,0,0,90,Mist,4416
None,289.06,0,0,90,Mist,3118
None,288.34,0,0,75,Haze,2877
None,288.34,0,0,75,Mist,2877
None,287.06,0,0,20,Mist,2498
None,287.41,0,0,75,Mist,1701
None,287.52,0,0,90,Mist,1028
None,287.81,0,0,90,Mist,578
None,287.29,0,0,75,Mist,354
None,287.23,0,0,90,Mist,272
None,286.44,0,0,90,Mist,370
None,285.32,0,0,90,Mist,809
None,285.32,0,0,90,Fog,809
None,285.43,0,0,90,Mist,2641
None,285.53,0,0,75,Mist,4957
None,285.2,0,0,90,Mist,6036
None,285.2,0,0,90,Fog,6036
None,285.02,0,0,90,Mist,5309
None,286.43,0,0,90,Mist,4438
None,287.36,0,0,90,Mist,4723
None,287.6,0,0,90,Mist,4879
None,287.29,0,0,90,Clouds,5062
None,286.41,0,0,90,Rain,5450
None,286.41,0,0,90,Mist,5450
None,286.41,0,0,90,Drizzle,5450
None,286.41,0,0,90,Drizzle,5450
None,285.8,0,0,90,Drizzle,5888
None,285.8,0,0,90,Mist,5888
None,285.8,0,0,90,Rain,5888
None,285.8,0,0,90,Drizzle,5888
None,285.8,0,0,90,Rain,5888
None,285.29,0,0,90,Rain,6473
None,285.29,0,0,90,Mist,6473
None,285.29,0,0,90,Drizzle,6473
None,284.77,0,0,90,Rain,6488
None,284.77,0,0,90,Mist,6488
None,284.77,0,0,90,Rain,6488
None,284.29,0,0,90,Drizzle,5351
None,284.29,0,0,90,Mist,5351
None,284.29,0,0,90,Rain,5351
None,284.29,0,0,90,Rain,5351
None,283.79,0,0,90,Drizzle,3500
None,283.79,0,0,90,Mist,3500
None,283.79,0,0,90,Rain,3500
None,283.44,0,0,90,Rain,2856
None,283.44,0,0,90,Mist,2856
None,283.44,0,0,90,Drizzle,2856
None,283.22,0,0,90,Rain,2587
None,283.22,0,0,90,Mist,2587
None,283.22,0,0,90,Drizzle,2587
None,282.82,0,0,90,Clouds,1979
None,282.13,0,0,90,Clouds,1284
None,281.05,0,0,90,Rain,665
None,281.05,0,0,90,Rain,665
None,281.05,0,0,90,Drizzle,665
None,280.44,0,0,90,Drizzle,432
None,280.44,0,0,90,Rain,432
None,280.07,0,0,90,Rain,326
None,280.07,0,0,90,Mist,326
None,280.07,0,0,90,Drizzle,326
None,279.54,0,0,90,Rain,380
None,279.54,0,0,90,Mist,380
None,279.54,0,0,90,Drizzle,380
None,279.54,0,0,90,Drizzle,380
None,278.93,0,0,90,Rain,705
None,278.93,0,0,90,Mist,705
None,278.93,0,0,90,Rain,705
None,278.93,0,0,90,Drizzle,705
None,278.93,0,0,90,Drizzle,705
None,278.27,0,0,90,Rain,2430
None,278.27,0,0,90,Mist,2430
None,278.27,0,0,90,Rain,2430
None,278.27,0,0,90,Thunderstorm,2430
None,278.07,0,0,90,Rain,5426
None,278.07,0,0,90,Mist,5426
None,278.07,0,0,90,Rain,5426
None,277.53,0,0,90,Rain,6499
None,277.53,0,0,90,Rain,6499
None,276.23,0,0,90,Rain,5856
None,276.23,0,0,90,Mist,5856
None,276.23,0,0,90,Rain,5856
None,275.66,0,0,90,Rain,5234
None,275.66,0,0,90,Mist,5234
None,275.66,0,0,90,Snow,5234
None,275.02,0,0,90,Rain,4695
None,275.02,0,0,90,Mist,4695
None,275.02,0,0,90,Rain,4695
None,275.02,0,0,90,Snow,4695
None,275.03,0,0,90,Rain,5341
None,275.03,0,0,90,Snow,5341
None,275.03,0,0,90,Mist,5341
None,275.03,0,0,90,Rain,5341
None,274.5,0,0,90,Mist,5943
None,274.5,0,0,90,Snow,5943
None,275.01,0,0,90,Snow,5874
None,275.38,0,0,90,Snow,5879
None,275.38,0,0,90,Mist,5879
None,275.85,0,0,90,Snow,6060
None,276.56,0,0,90,Clouds,6348
None,276.7,0,0,90,Clouds,5955
None,276.71,0,0,90,Clouds,5341
None,276.43,0,0,90,Clouds,4144
None,276.23,0,0,90,Clouds,3249
None,275.99,0,0,75,Clouds,3017
None,276.28,0,0,90,Clouds,2765
None,276.28,0,0,90,Clouds,1894
None,276.01,0,0,90,Clouds,1159
None,275.36,0,0,90,Clouds,822
None,274.93,0,0,20,Clouds,641
None,274.28,0,0,20,Clouds,411
None,274.01,0,0,1,Clear,468
None,273.71,0,0,1,Clear,723
None,273.43,0,0,1,Clear,1415
None,273.65,0,0,20,Clouds,2191
None,274.58,0,0,75,Clouds,3185
None,275.39,0,0,90,Clouds,4076
None,275.44,0,0,0,Clear,4522
None,276.11,0,0,90,Clouds,6012
None,276.48,0,0,90,Clouds,5975
None,276.5,0,0,90,Clouds,5307
None,276.56,0,0,90,Clouds,4678
None,276.61,0,0,90,Clouds,4405
None,276.9,0,0,90,Clouds,4403
None,276.61,0,0,90,Clouds,4311
None,276.34,0,0,90,Clouds,4198
None,275.96,0,0,90,Clouds,3475
None,275.6,0,0,90,Clouds,3078
None,274.86,0,0,90,Clouds,2931
None,274.05,0,0,20,Clouds,2941
None,273.62,0,0,20,Clouds,2240
None,273.52,0,0,20,Clouds,1564
None,273.54,0,0,90,Clouds,795
None,273.63,0,0,90,Clouds,447
None,273.63,0,0,90,Clouds,443
None,273.22,0,0,90,Clouds,330
None,272.75,0,0,75,Clouds,453
None,272.16,0,0,75,Clouds,755
None,271.06,0,0,20,Clouds,953
