holiday,temp,rain_1h,snow_1h,clouds_all,weather_description,traffic_volume
None,268.29,0,0,1,sky is clear,5331
None,281.72,0,0,90,proximity thunderstorm,3533
None,266.77,0,0,64,broken clouds,4017
None,296.69,0,0,44,scattered clouds,5966
None,258.95,0,0,40,scattered clouds,2073
None,260.01,0,0,1,sky is clear,1545
None,302.72,0,0,40,scattered clouds,3172
None,299.8,0,0,0,Sky is Clear,4858
None,274.15,0,0,1,sky is clear,5622
None,287.66,0,0,40,scattered clouds,4977
None,291.94,0,0,90,haze,4338
None,285.64,0,0,40,fog,4389
None,288.58,0,0,40,scattered clouds,4409
None,283.22,0,0,90,light rain,6087
None,290.01,0,0,1,sky is clear,5182
None,268.02,0,0,75,light snow,5493
None,290.94,0,0,1,mist,1022
None,268.81,0,0,1,mist,4933
None,289.28,0,0,1,sky is clear,4323
None,286.21,0,0,0,Sky is Clear,5841
None,289.55,0,0,90,overcast clouds,358
None,271.65,0,0,90,mist,2972
None,274.22,0,0,75,broken clouds,4990
None,298.77,0,0,1,sky is clear,3558
None,271.08,0,0,90,haze,4406
None,270.59,0,0,90,mist,4339
None,252.01,0,0,75,broken clouds,5674
None,289.9,0,0,0,Sky is Clear,868
None,267.95,0,0,5,sky is clear,5327
None,276.02,0,0,90,light snow,5083
None,270.54,0,0,1,sky is clear,340
None,266.19,0,0,1,sky is clear,331
None,281.27,0,0,1,sky is clear,3006
None,256.51,0,0,1,sky is clear,809
None,264.22,0,0,90,snow,435
None,274.44,0,0,90,overcast clouds,2100
None,275.91,0.25,0,90,light rain,5519
None,280.15,0,0,20,few clouds,5401
None,301.75,0,0,5,sky is clear,5053
None,257.81,0,0,1,sky is clear,1827
None,287.42,0,0,90,mist,5800
None,294.71,0,0,75,broken clouds,4108
None,289.56,0,0,1,sky is clear,846
None,279.36,0,0,90,light intensity drizzle,5017
None,287.19,0.76,0,90,mist,4383
None,257.34,0,0,64,broken clouds,4738
None,281.4,0,0,1,sky is clear,924
None,286.548,0,0,92,light rain,3779
None,285.14,0,0,0,Sky is Clear,1116
None,296.71,0,0,1,sky is clear,2839
None,263.86,0,0,90,overcast clouds,785
None,272.37,0,0,90,overcast clouds,2571
None,299.77,0,0,32,scattered clouds,3922
None,293.69,0,0,48,scattered clouds,5373
None,295.78,0,0,0,Sky is Clear,1209
None,297.27,0,0,90,overcast clouds,2107
None,279.95,0,0,90,drizzle,2631
None,294.12,0,0,56,moderate rain,392
None,266.55,0,0,90,haze,2637
None,284.26,0,0,1,sky is clear,3248
None,290.85,0,0,1,sky is clear,4727
None,283.33,0,0,20,few clouds,2714
None,291.13,0,0,40,scattered clouds,2758
None,278.49,0,0,90,moderate rain,2045
None,303.21,0,0,40,scattered clouds,5241
None,304.45,0,0,24,few clouds,5055
None,300.83,0,0,40,scattered clouds,6432
None,293.69,0,0,1,sky is clear,1152
None,279.61,0,0,40,scattered clouds,5170
None,282.32,0,0,90,mist,4465
None,289.56,0,0,8,sky is clear,655
None,267.84,0,0,1,sky is clear,3193
None,294.51,0,0,75,light rain,4665
None,258.46,0,0,5,sky is clear,6317
None,276.03,0,0,90,overcast clouds,4486
None,283.74,0,0,90,mist,5388
None,283.92,0,0,1,sky is clear,2869
None,286.975,0,0,8,sky is clear,3377
None,270.73,0,0,64,light snow,4703
None,288.76,0,0,1,sky is clear,2772
None,260.29,0,0,1,sky is clear,445
None,301.27,0,0,1,sky is clear,5070
None,286.58,0,0,1,sky is clear,1212
None,294,0,0,0,Sky is Clear,4415
None,269.22,0,0,5,sky is clear,3724
None,271.61,0,0,90,haze,2741
None,291.65,0,0,1,mist,861
None,274.41,0,0,90,overcast clouds,4434
None,281.195,0,0,0,Sky is Clear,4642
None,294.23,0,0,75,broken clouds,2692
None,269.78,0,0,75,broken clouds,4380
None,297.06,7.87,0,90,heavy intensity rain,4735
None,274.33,0.98,0.51,90,moderate rain,5167
None,297.1,11.23,0,75,mist,24
None,275.93,0,0,1,sky is clear,3216
None,274.72,0,0,1,sky is clear,4670
None,278.09,0,0,40,mist,5870
None,275.76,0,0,90,light rain,312
None,296.9,0,0,1,sky is clear,4439
None,293.65,0,0,75,broken clouds,5230
None,261.62,0,0,20,few clouds,3132
None,266.9,0,0,90,overcast clouds,308
None,274.24,0,0,20,few clouds,1730
None,273.79,0,0,5,sky is clear,3332
None,274.79,0,0,90,overcast clouds,429
None,294.88,0,0,5,sky is clear,5380
None,276.7,0,0,8,sky is clear,388
None,282.02,0,0,1,sky is clear,3711
None,259.15,0,0,40,scattered clouds,3223
None,267.06,0,0,90,light snow,427
None,271.36,0,0,90,light snow,2632
None,276.95,0,0,90,mist,5130
None,294.97,0,0,75,broken clouds,4727
None,295.56,0,0,40,scattered clouds,5180
None,271.36,0,0,1,light snow,319
None,287.52,0,0,90,mist,1028
None,292.24,0,0,1,light rain,6653
None,271.53,1.27,0,90,light snow,3876
None,286.71,0,0,90,proximity thunderstorm,409
None,276.68,0,0,75,mist,6104
None,296.47,0,0,20,few clouds,3306
None,275.63,0,0,20,fog,398
None,295.89,0,0,0,Sky is Clear,4721
New Years Day,265.94,0,0,90,light snow,1513
None,285.1,0,0,1,sky is clear,2807
None,277.58,0,0,75,broken clouds,4179
None,265.81,0,0,90,overcast clouds,5555
None,286.59,0,0,40,haze,5598
None,283.15,0,0,75,broken clouds,1733
None,250.8,0,0,1,sky is clear,4080
None,290.367,0,0,0,Sky is Clear,4603
None,285.75,0,0,90,heavy intensity rain,1328
None,287.48,0,0,90,moderate rain,894
None,273.22,0,0,1,sky is clear,957
None,260.21,0,0,90,overcast clouds,4857
None,289.14,0,0,5,fog,1866
None,269.37,0,0,75,broken clouds,269
None,282.18,0,0,75,broken clouds,5893
None,267.01,0,0,90,overcast clouds,1880
None,299.8,0,0,0,Sky is Clear,4990
None,269.89,0,0,90,overcast clouds,482
None,291.89,0.98,0,90,moderate rain,5259
None,279.24,0,0,75,broken clouds,4933
None,279.55,0,0,1,sky is clear,4740
None,269.02,0,0,75,broken clouds,3509
None,284.24,0.25,0,1,mist,5902
None,272.54,0,0,90,heavy snow,4200
None,293.42,0,0,90,proximity shower rain,4192
None,300.18,0,0,90,overcast clouds,4456
None,282.45,0,0,90,overcast clouds,947
None,277.66,0,0,90,drizzle,5422
None,280.72,0,0,90,drizzle,1039
None,249.45,0,0,40,scattered clouds,1148
None,299.88,0,0,5,sky is clear,4617
None,267.9,0,0,64,broken clouds,706
None,253.53,0,0,5,sky is clear,2031
None,301.66,0,0,36,scattered clouds,3765
None,296.01,0,0,90,light rain,4726
None,287.01,0,0,90,overcast clouds,3095
None,276.55,0,0,90,mist,2350
None,272.68,0,0,90,light rain,4839
None,293.121,0,0,64,broken clouds,477
None,296.55,0,0,1,sky is clear,3626
None,293.29,0,0,1,sky is clear,1412
None,268.55,0,0,1,sky is clear,261
None,302.88,0,0,75,broken clouds,4533
None,294.86,0,0,5,sky is clear,4999
None,287.48,0,0,40,scattered clouds,5002
None,290.93,0,0,20,mist,6280
None,294.34,0,0,75,broken clouds,2451
None,288.18,0.25,0,90,mist,867
None,275.77,0,0,5,sky is clear,6440
None,300.23,0,0,88,overcast clouds,3600
None,258.82,0,0,1,sky is clear,2370
None,274.59,0,0,1,sky is clear,4497
None,271.15,0,0,90,overcast clouds,2461
None,271.95,0,0,90,haze,375
None,271.96,0.51,0,1,light rain,1319
None,290.44,0,0,1,sky is clear,648
None,279.08,0,0,1,sky is clear,310
None,276.61,0,0,75,broken clouds,3038
None,246.68,0,0,5,sky is clear,3504
None,266.66,0,0,90,overcast clouds,351
None,287.28,0,0,1,mist,4011
None,286.76,0,0,1,sky is clear,382
None,264.33,0,0,20,few clouds,534
None,291.03,0,0,75,broken clouds,2903
None,282.64,0,0,20,few clouds,1035
None,296.36,0,0,90,overcast clouds,6741
None,284.65,0,0,90,light rain,337
None,256.35,0,0,1,light snow,4477
None,292.82,0,0,1,sky is clear,1287
None,297.8,0,0,1,sky is clear,5657
None,294.63,0,0,40,scattered clouds,1
None,274.08,0,0,90,light snow,4325
None,292.36,0,0,1,sky is clear,623
None,297.92,0,0,40,scattered clouds,3298
None,270.28,0,0,90,mist,4220
None,296.85,0,0,1,sky is clear,3928
None,301.74,0,0,1,sky is clear,6077
None,261.59,0,0,40,haze,4863
None,278.35,0,0,90,light snow,4655
None,284.79,0,0,75,light rain,945
None,270.31,0,0,40,scattered clouds,5070
None,290.02,0,0,90,heavy intensity rain,277
None,290.01,0,0,90,light rain,4454
None,303.35,0,0,75,thunderstorm,6373
None,287.01,0,0,92,overcast clouds,3631
None,289.15,0.25,0,36,light rain,313
None,274.62,0,0,1,sky is clear,2493
None,285.01,0,0,92,overcast clouds,606
None,287.02,0,0,92,overcast clouds,4324
None,299.48,0.51,0,40,light rain,6490
None,299.95,0,0,20,few clouds,5307
None,291.35,0,0,90,moderate rain,4864
None,295.86,0.25,0,1,light rain,5680
None,265.93,0,0,90,light snow,4378
None,292.77,0,0,1,sky is clear,1158
None,288.55,0,0,1,sky is clear,414
None,278.62,0,0,75,broken clouds,4392
None,291.68,0,0,1,sky is clear,341
None,297.61,0,0,0,Sky is Clear,5423
None,304.18,0,0,75,broken clouds,4829
None,258.46,0,0,5,sky is clear,5589
None,281.15,0,0,1,sky is clear,4952
None,255.38,0,0,1,sky is clear,1034
None,303.15,0,0,90,overcast clouds,5463
None,271.28,0,0,90,light snow,896
None,278.93,0,0,90,drizzle,5760
None,293.96,0,0,40,scattered clouds,3677
None,282.85,0,0,0,Sky is Clear,2381
None,278.21,0,0,90,mist,6267
None,268.75,0,0,1,sky is clear,5703
None,274.65,0,0,90,light rain,6595
None,278.01,0,0,75,broken clouds,6104
None,278.21,0,0,90,mist,830
None,288.84,0,0,76,broken clouds,4776
None,266.71,0,0,90,overcast clouds,1060
None,297.95,0,0,75,broken clouds,3170
None,284.68,0,0,40,scattered clouds,6161
None,286.832,0,0,88,overcast clouds,4356
None,295.58,0,0,1,sky is clear,4009
None,268.55,0,0,90,overcast clouds,3465
None,269.44,0,0,90,haze,5570
None,291.08,0,0,90,mist,4930
None,296.72,0,0,75,broken clouds,2624
None,297.23,0,0,75,proximity shower rain,4555
None,291.69,0,0,75,broken clouds,4643
None,291.66,0,0,1,sky is clear,5906
None,289.06,0,0,90,light rain,1228
None,287.12,0.25,0,48,light rain,2910
None,274.42,0,0,90,light snow,5739
None,292.08,0,0,1,light rain,1771
None,296.76,0,0,75,broken clouds,4690
None,283.88,0,0,1,sky is clear,819
None,273.72,0,0,1,sky is clear,4947
None,291.46,0,0,56,broken clouds,2689
None,269.95,0,0,1,mist,820
None,298.73,0,0,40,scattered clouds,5487
None,272.01,0,0,90,light rain,1311
None,291.15,0,0,40,scattered clouds,5714
None,269.21,0,0,75,mist,1888
None,265.5,0,0,1,sky is clear,4699
None,274.03,0,0,90,heavy snow,3655
None,258.45,0,0,1,sky is clear,1758
None,260.14,0,0,90,light snow,2611
None,276.71,0,0,90,overcast clouds,4936
None,295.58,0,0,90,overcast clouds,4493
None,290.86,0,0,32,scattered clouds,2574
None,295.02,0,0,40,heavy intensity rain,417
None,289.85,0,0,1,sky is clear,691
None,255.42,0,0,1,sky is clear,249
None,294.1,7.51,0,90,mist,2499
None,291.36,0,0,90,proximity shower rain,5924
None,294.04,0.25,0,75,moderate rain,5200
None,297.73,0,0,90,light rain,4273
None,261.23,0,0,1,sky is clear,274
None,290.21,0,0,1,light rain,6017
None,298.35,0,0,75,broken clouds,6366
None,260.46,0,0,90,snow,3293
None,272.95,0,0,90,light snow,485
None,293.01,0,0,40,mist,678
None,272.4,0,0,90,heavy snow,3572
None,253.51,0,0,40,scattered clouds,3134
None,282.865,0,0,24,few clouds,6322
None,301.68,0,0,90,overcast clouds,4989
None,294.58,0,0,75,light intensity drizzle,4743
None,295.17,0,0,20,haze,4276
None,304.15,0,0,0,Sky is Clear,5679
None,285.9,0,0,90,mist,6195
None,277.45,0,0,90,overcast clouds,4192
None,297.61,0,0,1,sky is clear,4955
None,274.589,0,0,0,Sky is Clear,4434
None,296.35,0,0,1,sky is clear,6563
None,293.37,0.85,0,90,light rain,851
None,297.02,0,0,40,scattered clouds,5941
None,269.35,0,0,40,haze,4650
None,285.32,0,0,75,broken clouds,880
None,287.75,0,0,40,scattered clouds,4695
None,276.22,0,0,90,overcast clouds,4753
None,279.48,0,0,20,few clouds,5029
None,279.027,0,0,92,moderate rain,1011
None,288.52,3.41,0,92,mist,530
None,292.4,0,0,1,proximity thunderstorm,3318
None,286.08,2.79,0,1,mist,570
None,288.22,0,0,40,scattered clouds,638
None,287.68,0,0,90,overcast clouds,292
None,274.79,0,0,90,overcast clouds,5155
None,288.42,0,0,1,sky is clear,2935
None,289.12,0,0,48,fog,344
None,281.361,0,0,8,sky is clear,583
None,303.37,0,0,75,broken clouds,5871
None,272.95,0,0,90,overcast clouds,912
None,273.48,0,0,5,sky is clear,5101
None,302.76,0,0,0,Sky is Clear,2787
None,286.76,0,0,48,scattered clouds,2153
None,275.72,0,0,90,light rain,292
None,302.09,0,0,1,sky is clear,3567
None,278.03,0,0,90,overcast clouds,6252
None,289.79,0,0,24,few clouds,5391
None,301.73,0,0,56,broken clouds,4327
None,286.4,0,0,90,smoke,367
None,294.22,0,0,1,sky is clear,1690
None,261.3,0,0,90,fog,2425
None,284.77,0,0,90,light rain,6488
None,287.51,0,0,1,drizzle,3626
None,281.47,0,0,75,broken clouds,316
None,296.23,0.55,0,40,proximity thunderstorm,4416
None,291.14,0,0,88,overcast clouds,1843
None,281.75,0,0,1,sky is clear,2504
None,293.31,0,0,90,mist,2874
None,284.65,0,0,1,sky is clear,807
None,290.83,0,0,0,haze,5308
None,291.29,0,0,90,light rain,5026
None,288.54,0,0,1,sky is clear,4815
None,294.15,0,0,40,scattered clouds,3843
None,276.22,0,0,1,sky is clear,262
None,288.95,0,0,1,fog,410
None,298.86,0,0,75,broken clouds,4926
None,275.75,0,0,1,sky is clear,1167
None,274.94,0.3,0,75,light rain,3197
None,269.58,0,0.05,90,light snow,2989
None,296.95,0.25,0,1,light rain,2830
None,301.15,0,0,40,scattered clouds,4976
None,295.83,0,0,0,Sky is Clear,3246
None,258.59,0,0,91,overcast clouds,4178
None,291.07,0,0,90,light intensity drizzle,5523
None,275.15,0,0,90,fog,5674
None,284.68,0,0,90,drizzle,5185
None,293.1,3.05,0,75,moderate rain,225
None,283.35,0,0,90,overcast clouds,3643
None,291.37,0,0,1,sky is clear,372
None,287.36,0,0,1,sky is clear,4587
None,292.15,0,0,40,mist,4652
None,257.42,0,0,90,overcast clouds,292
None,273.01,0,0,90,overcast clouds,4982
None,263.86,0,0,90,overcast clouds,365
None,293.8,0,0,1,mist,888
None,282.53,0,0,90,overcast clouds,1284
None,293.17,0,0,90,light rain,4663
None,273.82,0,0,90,haze,1287
None,270.08,0,0,64,light snow,4941
None,292.16,0,0,1,sky is clear,383
None,290.51,0,0,1,mist,5691
None,273.44,0,0,90,light snow,975
None,274.25,0,0,1,sky is clear,425
None,288.61,0,0,1,sky is clear,611
None,303.68,0,0,12,few clouds,3238
None,284,0,0,90,overcast clouds,355
None,282.72,0,0,1,sky is clear,515
None,271.3,1.52,0,64,light snow,4173
None,265.22,0,0,20,few clouds,5474
None,259.46,0,0,90,heavy snow,2449
None,301.58,0,0,40,scattered clouds,3530
None,277.51,0,0,90,overcast clouds,5692
None,281.65,0,0,90,haze,3937
None,294.58,0,0,75,mist,4699
None,288.6,0,0,90,overcast clouds,4862
None,285.14,0,0,40,scattered clouds,5838
None,280.3,0,0,90,mist,4205
None,278.64,2.8,0,90,moderate rain,4902
None,270.08,0,0,90,light snow,3683
None,256.02,0,0,5,sky is clear,5886
None,272.48,0,0,75,mist,4327
None,270.56,0,0,90,mist,641
None,294.01,0,0,48,scattered clouds,865
None,262.6,0,0,5,sky is clear,4637
None,275.36,0,0,90,overcast clouds,822
None,290.39,0,0,90,thunderstorm with light rain,1016
None,270.57,0,0,20,few clouds,4631
None,264.01,0,0,1,sky is clear,512
None,286.58,0,0,90,overcast clouds,4976
None,262.59,0,0,75,broken clouds,954
None,276.82,0,0,1,sky is clear,2982
None,273.86,0,0.32,90,mist,5222
None,266.42,0,0,75,broken clouds,3951
None,293.22,7.25,0,90,mist,626
None,269.74,0,0,64,mist,1834
None,273.94,0,0,90,overcast clouds,4279
None,291.48,0,0,40,mist,416
None,275.95,0,0,90,light rain,2730
None,291.29,0,0,90,thunderstorm,2863
None,294.69,0,0,1,mist,826
None,276.6,0,0,90,overcast clouds,335
None,284,0,0,90,light rain,5173
None,273.08,0,0,90,overcast clouds,551
None,302.56,0,0,75,broken clouds,6196
None,273.28,0,0,90,light snow,2174
None,284.84,0,0,90,overcast clouds,1111
None,290.56,0,0,90,light rain,3136
None,273.34,0,0,90,overcast clouds,5608
None,249.71,0,0,90,overcast clouds,2639
None,284.38,0,0,1,haze,966
None,296.59,0.25,0,90,light rain,4446
None,258.7,0,0,20,few clouds,374
None,294.85,0,0,0,Sky is Clear,5325
None,288.55,0,0,0,Sky is Clear,6067
None,279.36,0,0,90,moderate rain,5017
None,281.15,0,0,1,sky is clear,3659
None,290.48,0,0,90,mist,1127
None,273.56,0,0,90,fog,5086
None,295.17,0,0,64,broken clouds,4564
None,282.07,4.27,0,92,mist,340
None,278.02,0,0,90,mist,5641
None,286.35,0,0,90,mist,6060
None,291.21,0,0,75,broken clouds,4822
None,288.68,0,0,90,light intensity drizzle,709
None,290.68,0,0,20,haze,6007
None,290.47,0,0,1,sky is clear,3759
None,288.02,0,0,75,mist,6518
None,266.18,0,0,90,overcast clouds,667
None,260.79,0,0,1,sky is clear,335
None,287.49,0,0,40,scattered clouds,376
None,293.65,0,0,75,proximity shower rain,6566
None,295.3,0,0,75,broken clouds,2457
None,299.6,0,0,1,haze,4383
None,288.14,0,0,75,broken clouds,1469
None,275.01,0,0,90,mist,657
None,271.55,0,0,90,overcast clouds,2914
None,282.36,0,0,20,few clouds,4651
None,294.95,0,0,40,scattered clouds,947
None,283.93,0,0,24,few clouds,358
None,289.35,0,0,40,fog,2609
None,293.41,0,0,92,overcast clouds,5438
None,274.95,0,0,90,light rain,5681
None,280.01,0,0,90,overcast clouds,5239
None,300.95,0,0,1,sky is clear,5734
None,300.69,0,0,1,sky is clear,3370
None,282.36,0,0,75,broken clouds,4333
None,285.62,0,0,1,sky is clear,2384
None,271.82,0,0,40,scattered clouds,593
None,284.63,0,0,1,sky is clear,2935
None,254.48,0,0,1,sky is clear,1328
None,292.69,0,0,1,sky is clear,2716
None,282.01,0,0,90,overcast clouds,5915
None,297.85,0,0,5,sky is clear,1725
None,265.82,0,0,1,sky is clear,4583
None,296.85,0,0,75,broken clouds,4610
None,289.02,0,0,90,light rain,3773
None,270.84,0,0,64,broken clouds,5592
None,260.86,0,0,90,haze,353
None,299.78,0,0,88,moderate rain,3551
None,276.73,0,0,64,broken clouds,2676
None,276.62,0,0,90,drizzle,980
None,260,0,0,90,light snow,1916
None,295.57,0,0,90,light rain,4828
None,273.37,0,0,90,overcast clouds,6710
None,289.55,0,0,90,overcast clouds,3299
None,274.65,0,0,90,fog,591
None,257.92,0,0,64,broken clouds,4098
None,255.76,0,0,90,light snow,4474
None,276.61,0,0,90,light rain,4386
None,261.21,0,0,1,sky is clear,5290
None,290.11,0,0,0,Sky is Clear,5213
None,291.7,0.76,0,90,moderate rain,5185
None,288.63,2.48,0,75,moderate rain,5412
None,270.47,0,0,64,mist,1103
None,255.72,0,0,75,mist,483
None,286.68,0,0,1,mist,5356
None,290.49,0,0,1,mist,330
None,284.23,0,0,64,broken clouds,4199
None,272.19,0,0,90,heavy snow,5806
None,286.45,1.11,0,92,moderate rain,850
None,271.55,0,0,1,sky is clear,1488
None,268.15,0,0,1,sky is clear,594
None,262.02,0,0,20,few clouds,5715
None,277.3,0,0,90,overcast clouds,6017
None,271.41,0,0,75,haze,331
None,271.86,0,0,90,mist,3745
None,296.34,0,0,68,broken clouds,5371
None,291.49,0,0,92,haze,4888
None,262.65,0,0,90,mist,5122
None,261.61,0,0,75,light snow,4896
None,288.65,0,0,90,moderate rain,6000
None,263.11,0,0,1,sky is clear,4499
None,278.5,0,0,90,haze,1472
None,266.93,0,0,5,sky is clear,4305
None,265.86,0,0,90,light snow,767
None,274.04,0.25,0,64,light rain,4795
None,294.15,0,0,5,sky is clear,6548
None,275.84,0,0,90,light rain,2732
None,276.44,0,0,90,light intensity drizzle,2653
None,275.15,0,0,90,drizzle,325
None,291.29,0,0,1,sky is clear,2890
None,287.79,0,0,1,haze,5370
None,276.58,0,0,64,broken clouds,4904
None,254.9,0,0,90,overcast clouds,4637
None,280.81,0,0,40,scattered clouds,2798
None,267.64,0,0,1,sky is clear,6410
None,277.46,0,0,40,scattered clouds,2058
None,284.95,0,0,75,broken clouds,305
None,251.29,0,0,40,scattered clouds,735
None,255.82,0,0,1,sky is clear,759
None,275.15,0,0,90,light rain,309
None,289.38,0,0,1,sky is clear,3075
None,262.9,0,0,90,mist,876
None,286.49,0,0,1,mist,355
None,289.86,0,0,1,sky is clear,949
None,267.37,0,0,5,sky is clear,3225
None,289.07,0,0,1,light intensity drizzle,3972
None,269.42,0,0,90,overcast clouds,2585
None,292.68,0,0,75,broken clouds,4720
None,283.44,0,0,90,light rain,2959
None,248.12,0,0,75,broken clouds,2003
None,283.29,0,0,90,light intensity drizzle,5236
None,279.42,0,0,1,sky is clear,526
None,268.55,0,0,75,broken clouds,342
None,281.69,0,0,24,few clouds,591
None,274.17,0,0,90,overcast clouds,306
None,274.72,0,0,90,light rain,2176
None,289.3,0,0,20,few clouds,313
None,288.74,0,0,90,light rain,3864
None,297.11,0,0,20,few clouds,5433
None,287.92,0,0,92,light rain,4599
None,280.15,0,0,1,mist,798
None,269.39,0,0,90,overcast clouds,3130
None,276.15,0,0,20,mist,5391
None,281.62,0,0,75,light rain,1693
None,276.65,0,0,90,light intensity drizzle,3222
None,294.73,0,0,90,proximity thunderstorm,4137
None,275.42,0,0,90,mist,4948
None,264.15,0,0,90,overcast clouds,658
None,272.96,0,0,90,light snow,2573
None,264.67,0,0,75,broken clouds,5370
None,299.52,0,0,75,broken clouds,5996
None,296.03,0,0,40,scattered clouds,5146
None,269.51,0,0,90,proximity thunderstorm,1461
None,267.82,0,0,1,sky is clear,6456
None,299.3,0,0,75,broken clouds,6160
None,288.88,0,0,1,haze,2940
None,268.35,0,0,1,mist,1307
None,286.09,0,0,1,sky is clear,2963
None,265.48,0,0,90,light snow,3330
None,294.04,1.4,0,90,moderate rain,378
None,259.6,0,0,90,haze,5554
None,282.95,0,0,90,light rain,955
None,296.57,0,0,1,sky is clear,4632
None,287.09,0,0,20,few clouds,4399
None,256.94,0,0,90,light snow,3410
None,304.51,0,0,12,few clouds,5387
None,274.86,0,0,75,mist,2665
None,298.28,0,0,64,broken clouds,729
None,271.49,0,0,90,light snow,5900
None,296.04,1.78,0,1,moderate rain,4394
None,273.68,0,0,90,mist,5783
None,274.08,0,0,90,mist,5418
None,284.49,0,0,75,broken clouds,443
None,281.21,0,0,90,light intensity drizzle,2723
None,299.75,0,0,75,broken clouds,5138
None,292.9,0,0,20,few clouds,4977
None,252.13,0,0,5,sky is clear,3109
None,290.81,0,0,20,few clouds,2373
None,295.95,0,0,90,light intensity drizzle,4621
None,254.59,0,0,1,mist,922
None,285.57,0,0,90,overcast clouds,4613
None,262.31,0,0,90,overcast clouds,2933
None,292.7,0.89,0,88,light rain,674
None,280.63,0,0,75,broken clouds,4695
None,291.63,0,0,40,scattered clouds,648
None,297.22,0,0,40,light rain,4971
None,294.87,23.8,0,90,very heavy rain,346
None,304.43,0,0,20,few clouds,3953
None,269.36,0,0,90,haze,4787
None,276.29,0,0,90,drizzle,5668
None,278.15,0,0,1,sky is clear,1962
None,289.55,0,0,40,light rain,355
None,292.6,0,0,0,Sky is Clear,4183
None,255.78,0,0,77,broken clouds,326
None,278.63,0,0,90,thunderstorm with light rain,245
None,284.03,0.76,0,90,light rain,5874
None,287.18,0.25,0,1,light rain,3208
None,282.3,0,0,1,sky is clear,3054
None,299.5,0,0,1,sky is clear,4675
None,297.27,0,0,48,scattered clouds,3575
None,293.82,0,0,40,scattered clouds,1482
None,290.53,0,0,90,light intensity drizzle,5455
None,275.48,0,0,90,overcast clouds,2029
None,289.48,0,0,0,Sky is Clear,859
None,257.75,0,0,75,light snow,5017
None,296.57,0,0,1,sky is clear,3919
None,281.43,0,0,1,sky is clear,850
None,294.48,0,0,1,light rain,4415
None,273.82,0,0,1,sky is clear,2844
None,292.15,0,0,90,light intensity drizzle,4621
None,273.55,0,0,90,mist,3400
None,292.8,0,0,90,mist,6068
None,268.9,0,0,1,sky is clear,821
None,282.15,0,0,1,light intensity drizzle,469
None,289.67,3.64,0,92,moderate rain,444
None,273.94,0,0,90,overcast clouds,3469
None,286.22,0,0,90,moderate rain,4349
None,278.01,0,0,90,light rain,4865
None,289.51,0.25,0,1,mist,474
None,303.24,0,0,75,broken clouds,5159
None,290,0,0,1,sky is clear,404
None,275.95,0,0,90,haze,5681
None,281.62,0,0,90,drizzle,2980
None,266.58,0,0,90,light snow,1821
None,266.08,0,0,40,scattered clouds,348
