holiday,temp,rain_1h,snow_1h,clouds_all,weather_description,day_time,traffic_volume,random
None,292.12,0.51,0,1,proximity thunderstorm,Monday 2:00,295,14797
None,289.07,0,0,1,sky is clear,Sunday 9:00,2636,32442
None,270,0,0,20,few clouds,Monday 10:00,4472,44772
None,290.43,0,0,1,mist,Sunday 7:00,1205,15641
None,292.97,1.09,0,75,moderate rain,Friday 7:00,5700,18189
None,268.28,0,0,1,sky is clear,Thursday 5:00,2952,8761
None,271.15,0,0,90,overcast clouds,Friday 17:00,2788,14302
None,296.93,0,0,40,scattered clouds,Tuesday 14:00,5386,25061
None,300.11,0,0,75,broken clouds,Monday 15:00,5656,4359
None,278.15,0,0,90,mist,Thursday 9:00,5226,4688
None,279.03,0,0,1,sky is clear,Friday 7:00,6401,37959
None,263.33,0,0,1,sky is clear,Tuesday 20:00,2647,12899
None,284.41,0,0,5,sky is clear,Wednesday 21:00,3475,45129
None,257.39,0,0,1,sky is clear,Sunday 12:00,3849,29508
None,273.98,0,0,1,sky is clear,Friday 8:00,5024,47777
None,293.48,0,0,1,sky is clear,Thursday 11:00,4451,6834
None,283.29,0,0,90,mist,Sunday 16:00,5375,22372
None,286.64,0,0,75,broken clouds,Sunday 14:00,4557,45391
None,287.02,0,0,1,sky is clear,Saturday 11:00,4613,23099
None,272.65,0,0,64,broken clouds,Sunday 12:00,3935,37412
None,272.72,0,0,90,overcast clouds,Friday 17:00,6199,4301
None,276.793,0,0,64,broken clouds,Saturday 14:00,3884,18616
None,256.76,0,0,64,haze,Wednesday 13:00,4601,20480
None,299.15,0,0,1,sky is clear,Wednesday 12:00,5440,13289
None,294.15,0,0,12,few clouds,Thursday 10:00,4872,12940
None,298.85,0,0,40,scattered clouds,Saturday 16:00,4590,2823
None,290.87,0,0,1,sky is clear,Wednesday 2:00,270,19812
None,271.84,0,0,90,overcast clouds,Friday 8:00,5420,28381
None,267.22,0,0,90,mist,Wednesday 6:00,5538,37866
None,290.16,0,0,40,scattered clouds,Friday 17:00,6197,12385
None,287.59,0,0,1,sky is clear,Tuesday 5:00,3013,39003
None,268.08,0,0,90,light snow,Thursday 19:00,3441,31263
None,274.666,0,0,0,Sky is Clear,Saturday 4:00,380,5293
None,276.01,0,0,1,sky is clear,Monday 6:00,5147,6181
None,286.29,0,0,90,overcast clouds,Tuesday 21:00,2450,39826
None,273.33,0,0,90,fog,Friday 18:00,4728,24056
None,254.15,0,0,75,broken clouds,Monday 13:00,2983,42765
None,296.66,0.3,0,40,proximity thunderstorm,Thursday 3:00,363,40740
None,289.14,0,0,0,Sky is Clear,Thursday 6:00,6149,13959
None,279.75,0,0,1,sky is clear,Friday 3:00,375,26915
None,274.95,0,0,90,mist,Saturday 4:00,408,33145
None,287.12,0.25,0,48,light rain,Sunday 21:00,2910,9944
None,285.15,0,0,90,light rain,Thursday 22:00,2014,21378
None,297.851,0,0,0,Sky is Clear,Sunday 16:00,3717,25760
None,282.87,0,0,8,sky is clear,Sunday 5:00,550,26304
None,297.02,0,0,75,broken clouds,Sunday 22:00,2109,13074
None,289.3,0,0,92,mist,Monday 23:00,1175,32247
None,269.21,0,0,1,sky is clear,Tuesday 3:00,307,23986
None,306.68,0,0,75,broken clouds,Saturday 17:00,4149,33930
None,277.44,0,0,90,light rain,Wednesday 12:00,5211,11492
None,290.03,0.51,0,75,proximity thunderstorm,Thursday 12:00,5003,36657
None,281.32,0,0,90,light rain,Saturday 19:00,3147,15794
None,286.01,0,0,75,broken clouds,Monday 13:00,4659,21494
None,276.08,0,0,90,overcast clouds,Thursday 16:00,6721,30779
None,274.79,0,0,1,sky is clear,Saturday 7:00,2036,35269
None,285.51,0,0,90,light intensity drizzle,Wednesday 0:00,543,32401
None,290.4,0,0,1,sky is clear,Saturday 0:00,1336,37585
None,259.22,0,0,5,sky is clear,Saturday 17:00,4572,23475
None,268.35,0,0,90,mist,Saturday 22:00,594,15667
None,285.02,0,0,90,overcast clouds,Sunday 18:00,3654,19507
None,295.7,0,0,68,broken clouds,Friday 3:00,445,17420
None,275.27,0,0,90,mist,Friday 0:00,640,17990
None,252.29,0,0,1,sky is clear,Wednesday 23:00,973,1483
None,302.97,0,0,20,few clouds,Friday 16:00,5868,36034
None,265.9,0,0,75,broken clouds,Monday 5:00,2611,4707
None,275.02,0,0,90,mist,Sunday 10:00,2937,41167
None,282.82,0,0,40,scattered clouds,Monday 14:00,5076,25530
None,297.46,0,0,20,few clouds,Thursday 21:00,3031,5538
None,280.8,0,0,90,haze,Sunday 15:00,4329,22864
None,267.76,0,0,90,haze,Saturday 1:00,611,4492
None,264.47,0,0,64,broken clouds,Thursday 19:00,3344,38129
None,251.79,0,0,1,sky is clear,Saturday 1:00,666,31131
None,301.8,0,0,0,Sky is Clear,Friday 16:00,6342,7952
None,292.92,0,0,75,light rain,Thursday 20:00,3018,8541
None,283.81,0,0,75,broken clouds,Thursday 9:00,5486,46156
None,286.74,0,0,90,mist,Sunday 3:00,289,4542
None,273.93,0,0,75,light snow,Friday 21:00,2905,33606
None,257.93,0,0,1,sky is clear,Tuesday 1:00,325,23362
None,292.08,0,0,90,overcast clouds,Thursday 16:00,6458,1837
None,290.63,0,0,12,few clouds,Thursday 10:00,4815,34438
None,292.74,0,0,36,scattered clouds,Tuesday 5:00,3024,25677
None,279.95,0,0,75,broken clouds,Monday 8:00,6139,35837
None,271.27,0,0,40,light snow,Sunday 10:00,3659,17940
None,299.01,0,0,40,scattered clouds,Wednesday 17:00,5644,10728
None,286.62,0,0,90,light rain,Saturday 12:00,4823,10559
None,267.58,0,0,90,mist,Thursday 7:00,6227,36961
None,289.16,0.55,0,90,mist,Thursday 0:00,498,39742
None,294.58,0,0,1,sky is clear,Tuesday 0:00,700,45488
None,290.367,0,0,0,Sky is Clear,Saturday 15:00,5004,12926
None,269.86,0,0,20,few clouds,Wednesday 2:00,237,40961
None,253.53,0,0,5,sky is clear,Tuesday 21:00,2031,9850
None,281.3,0,0,20,few clouds,Thursday 18:00,4867,45521
None,292.49,0,0,1,sky is clear,Monday 2:00,331,12602
None,254.67,0,0,1,sky is clear,Thursday 4:00,930,21385
None,280.82,0.62,0,90,light rain,Wednesday 13:00,5148,24842
None,298.21,0,0,12,few clouds,Tuesday 17:00,6005,22926
None,278.79,0,0,40,scattered clouds,Tuesday 23:00,1946,12791
None,272.44,0,0,90,light snow,Sunday 5:00,490,36951
None,272.15,0,0,90,overcast clouds,Monday 1:00,321,15567
None,296.28,0,0,40,scattered clouds,Tuesday 17:00,5735,42658
None,294.49,0,0,40,scattered clouds,Monday 4:00,941,40801
None,286.24,0,0,8,sky is clear,Wednesday 3:00,360,3407
None,273.52,0,0,1,sky is clear,Tuesday 16:00,6527,46920
None,276.793,0,0,64,broken clouds,Saturday 19:00,3001,26475
None,270.28,0,0,90,mist,Tuesday 7:00,3921,131
None,282.29,1.66,0,92,mist,Tuesday 6:00,5452,41986
None,284.86,0,0,90,moderate rain,Tuesday 6:00,5375,6920
None,267.785,0,0,0,Sky is Clear,Thursday 0:00,711,38726
None,282.62,0,0,1,sky is clear,Tuesday 2:00,233,7004
None,295.51,0,0,90,overcast clouds,Thursday 23:00,1904,11047
None,295.58,0,0,75,broken clouds,Friday 18:00,4959,41342
None,261.74,0,0,64,broken clouds,Wednesday 13:00,4777,47863
None,291.28,0,0,1,sky is clear,Sunday 5:00,427,27214
None,300.86,0,0,40,proximity thunderstorm,Monday 17:00,5590,47815
None,269.3,0,0,90,light snow,Sunday 9:00,2631,45175
None,282.537,0,0,92,light rain,Saturday 18:00,3713,13867
None,296.91,0,0,75,broken clouds,Friday 23:00,108,23459
None,274.62,0,0,90,haze,Saturday 14:00,3681,29603
None,272.33,0,0,90,overcast clouds,Friday 22:00,2644,47310
None,295.86,1.52,0,90,thunderstorm with light rain,Thursday 14:00,5182,31946
None,290.1,1.52,0,90,mist,Tuesday 5:00,3161,43690
None,270.41,0,0,40,scattered clouds,Tuesday 3:00,334,43693
None,271.29,0,0,64,broken clouds,Wednesday 7:00,6621,19504
None,289.47,0,0,40,scattered clouds,Friday 7:00,6315,16413
None,280.75,0,0,20,few clouds,Monday 9:00,5262,8304
None,298.77,0,0,0,Sky is Clear,Monday 15:00,5642,29178
None,275.28,0,0,90,drizzle,Thursday 1:00,319,369
None,266.71,0,0,20,few clouds,Monday 13:00,4642,4475
None,294.51,0,0,1,sky is clear,Saturday 5:00,830,30145
None,269.08,0,0,90,mist,Thursday 2:00,265,11437
None,281.21,0,0,90,light rain,Sunday 20:00,2723,38326
None,291.15,0,0,90,light rain,Friday 3:00,376,1925
None,271.28,0,0,90,light snow,Tuesday 5:00,2537,27767
None,251.86,0,0,1,sky is clear,Tuesday 1:00,326,44538
None,297.34,0,0,1,sky is clear,Thursday 10:00,4585,19164
None,301.71,0,0,80,haze,Friday 11:00,5810,46181
None,274.58,0,0,90,heavy snow,Wednesday 12:00,4793,968
None,284.4,0,0,40,scattered clouds,Friday 20:00,3309,43141
None,281.41,0,0,1,sky is clear,Monday 8:00,5729,45185
None,290.14,5.74,0,92,proximity thunderstorm with rain,Thursday 10:00,4634,17464
None,294.86,0,0,90,mist,Wednesday 21:00,2281,26013
None,273.53,0.9,0,90,light snow,Friday 13:00,5418,43467
None,285.55,0,0,1,sky is clear,Friday 0:00,640,7482
None,287.87,0,0,90,overcast clouds,Tuesday 1:00,351,3150
None,273.23,0,0,90,mist,Friday 20:00,3240,47227
None,283.75,0,0,5,sky is clear,Tuesday 7:00,6422,32653
None,274.75,0,0,90,light intensity drizzle,Wednesday 20:00,2704,15868
None,297.74,0,0,32,scattered clouds,Thursday 1:00,508,27454
None,259.22,0,0,64,broken clouds,Wednesday 2:00,341,34016
None,299.01,0,0,20,few clouds,Thursday 22:00,2026,8098
None,276.15,0,0,5,sky is clear,Monday 14:00,4554,29602
None,300.12,0,0,75,broken clouds,Sunday 18:00,2998,45851
None,291.07,0.25,0,75,light rain,Wednesday 13:00,4999,32300
None,262.77,0,0,75,broken clouds,Wednesday 5:00,2698,38361
None,292.82,19.9,0,20,mist,Sunday 5:00,542,13812
None,275.15,0,0,90,overcast clouds,Monday 14:00,5185,36487
None,286.09,0,0,1,sky is clear,Monday 20:00,2963,10253
None,261.02,0,0,90,heavy snow,Tuesday 21:00,2343,40559
None,279.87,0,0,1,mist,Tuesday 1:00,302,29783
None,306.37,0,0,0,Sky is Clear,Wednesday 16:00,5952,20767
None,286.3,0,0,90,overcast clouds,Wednesday 23:00,1863,955
None,286.66,0.25,0,90,light rain,Sunday 6:00,802,29440
None,256.15,0,0,1,sky is clear,Monday 23:00,934,9454
None,273.89,0,0,90,mist,Friday 3:00,313,1202
None,264.7,0.25,0,90,light rain,Wednesday 18:00,4270,37165
None,289.47,0,0,75,broken clouds,Wednesday 11:00,4969,34999
None,269.17,0,0.05,90,mist,Tuesday 14:00,4301,32731
None,286.623,0,0,32,moderate rain,Monday 22:00,2275,37639
None,285.62,0,0,90,drizzle,Saturday 16:00,5203,15774
None,300.14,0,0,40,scattered clouds,Wednesday 18:00,4191,12144
None,298.85,0,0,1,sky is clear,Sunday 22:00,2278,28889
None,274.95,0,0,40,scattered clouds,Monday 12:00,4562,14938
None,262.28,0,0,64,haze,Friday 1:00,417,27626
None,249.53,0,0,5,sky is clear,Saturday 12:00,4160,25346
None,289.69,0,0,1,sky is clear,Thursday 3:00,369,16616
None,287.15,0,0,90,light rain,Saturday 21:00,2894,17657
None,295.91,0,0,1,sky is clear,Monday 11:00,3782,44978
None,294.83,0,0,1,sky is clear,Wednesday 20:00,3059,43275
None,294.43,0,0,75,broken clouds,Wednesday 21:00,2837,27744
None,284.16,0,0,1,sky is clear,Saturday 2:00,882,38590
None,286.78,0,0,90,light rain,Sunday 1:00,1001,20774
None,299.4,0,0,1,sky is clear,Monday 10:00,4353,45286
None,284.01,0,0,1,sky is clear,Saturday 9:00,3153,4865
None,271.87,0,0,40,scattered clouds,Sunday 5:00,440,7605
None,285.5,0,0,90,overcast clouds,Thursday 9:00,5181,30851
None,284.13,0,0,90,overcast clouds,Sunday 23:00,1189,1360
None,256.58,0,0,1,sky is clear,Wednesday 6:00,5225,17290
None,269.55,0,0,75,light snow,Tuesday 8:00,5932,37352
None,293.27,0,0,80,light rain,Tuesday 7:00,6266,45426
None,289.17,0,0,20,few clouds,Monday 19:00,3091,6266
None,292.15,10.16,0,90,mist,Monday 4:00,278,25451
None,280.28,0,0,90,overcast clouds,Sunday 8:00,2002,8231
None,299.02,0,0,1,sky is clear,Sunday 20:00,3213,44341
None,292.43,5.36,0,90,heavy intensity rain,Saturday 22:00,2234,4224
None,288.54,0,0,90,haze,Tuesday 15:00,5648,18342
None,264.7,0.25,0,90,mist,Wednesday 18:00,4270,42458
None,280.77,0,0,90,light rain,Tuesday 17:00,6445,10367
None,276.62,0,0,90,moderate rain,Sunday 23:00,1138,7371
None,276.27,0,0,90,drizzle,Wednesday 15:00,5283,7423
None,282.27,0,0,1,sky is clear,Friday 23:00,2347,46823
None,287.33,0,0,40,scattered clouds,Tuesday 17:00,6559,31424
None,292.8,0,0,90,mist,Wednesday 23:00,1233,42352
None,286.42,0,0,1,sky is clear,Monday 5:00,2827,19816
None,276.9,0,0,90,haze,Thursday 17:00,6286,45076
None,286.71,0,0,90,haze,Monday 11:00,3351,5029
None,261.88,0,0,90,light snow,Saturday 18:00,4480,22365
None,300.83,0,0,0,Sky is Clear,Wednesday 20:00,2579,13149
None,304.91,0,0,75,broken clouds,Saturday 14:00,4343,27440
None,293.22,0,0,90,heavy intensity rain,Thursday 18:00,4497,7189
None,276.48,0,0,75,broken clouds,Monday 16:00,6338,22108
None,290.99,0,0,40,scattered clouds,Saturday 15:00,4589,15789
None,290.7,0,0,1,mist,Monday 1:00,398,42267
None,294.28,0,0,40,scattered clouds,Tuesday 11:00,4475,31103
None,293.29,0,0,1,sky is clear,Thursday 11:00,4750,30984
None,277.16,0,0,90,mist,Sunday 3:00,344,23290
None,295.49,0,0,1,mist,Thursday 6:00,4500,21245
None,288.82,0,0,90,mist,Saturday 12:00,4671,38573
None,273.35,0,0,90,heavy snow,Thursday 23:00,1613,1572
None,291.29,0,0,90,moderate rain,Wednesday 12:00,2786,29721
None,282.79,0,0,90,light rain,Wednesday 6:00,5910,40857
None,298.78,1.27,0,40,haze,Sunday 15:00,4399,4761
None,276.62,0,0,90,light intensity drizzle,Wednesday 13:00,4546,40545
None,296.61,0,0,75,broken clouds,Sunday 17:00,3584,30556
None,277.46,0,0,40,scattered clouds,Sunday 16:00,4555,1426
None,291.29,0,0,90,light intensity drizzle,Friday 22:00,2863,14067
None,258.8,0,0,1,sky is clear,Wednesday 21:00,2463,36915
None,288.85,0,0,1,sky is clear,Wednesday 7:00,6489,18486
None,299.16,0,0,90,overcast clouds,Friday 16:00,6571,17995
None,297.29,0,0,1,sky is clear,Sunday 11:00,4384,14616
None,298.6,0,0,1,sky is clear,Wednesday 19:00,3558,27835
None,271.65,0,0,90,overcast clouds,Wednesday 5:00,2959,24689
None,270.34,0,0,90,overcast clouds,Saturday 1:00,672,43428
None,250.9,0,0,1,sky is clear,Friday 0:00,731,33406
None,279.36,0,0,1,sky is clear,Friday 22:00,2916,19185
None,287.65,0,0,75,broken clouds,Wednesday 4:00,827,42303
None,292.11,0.25,0,90,light rain,Sunday 9:00,3062,41694
None,295.02,0,0,1,haze,Wednesday 20:00,3157,29288
None,296.58,0,0,75,thunderstorm with heavy rain,Thursday 19:00,3237,2456
None,290.45,0,0,1,sky is clear,Wednesday 9:00,4368,42043
None,300.36,0,0,1,sky is clear,Monday 15:00,5797,11051
None,268.9,0,0,90,snow,Wednesday 2:00,266,34662
None,297.49,0,0,0,moderate rain,Sunday 17:00,4338,20954
None,283.88,0,0,1,sky is clear,Sunday 1:00,819,9951
None,275.64,0,0,75,broken clouds,Tuesday 16:00,6877,13689
None,272.42,0,0,90,light snow,Monday 13:00,3750,23148
None,285.48,0.3,0,90,drizzle,Thursday 4:00,812,43730
None,286.61,0,0,75,broken clouds,Monday 1:00,394,2353
None,298.3,0,0,1,sky is clear,Wednesday 21:00,2582,3132
None,248.13,0,0,5,sky is clear,Wednesday 20:00,2313,38250
None,296.59,0,0,1,haze,Friday 18:00,4807,28027
None,297.75,0,0,75,broken clouds,Saturday 19:00,3716,1406
None,295.18,0,0,0,Sky is Clear,Wednesday 21:00,3055,39664
None,270.98,0,0,90,overcast clouds,Sunday 14:00,4369,34005
None,296.61,0,0,40,moderate rain,Wednesday 2:00,296,40286
None,276.08,0,0,90,mist,Friday 18:00,5100,6998
None,282.42,0,0,90,overcast clouds,Sunday 8:00,2293,20997
None,293.75,0,0,1,mist,Thursday 2:00,309,26680
None,287.69,0,0,1,sky is clear,Sunday 5:00,512,13033
None,287.38,0,0,1,sky is clear,Wednesday 6:00,5741,35047
None,289.67,3.64,0,92,moderate rain,Thursday 0:00,444,10306
None,276.42,0,0,90,mist,Thursday 23:00,1354,21211
None,275.45,0,0,90,overcast clouds,Sunday 21:00,3286,19490
None,280.49,0,0,0,Sky is Clear,Sunday 23:00,1219,23678
None,298.42,0,0,40,scattered clouds,Tuesday 12:00,4805,4963
None,284.79,0,0,90,overcast clouds,Monday 3:00,307,36513
None,301.11,0,0,1,sky is clear,Wednesday 14:00,4802,27948
None,274.2,0,0,90,overcast clouds,Thursday 10:00,3191,25753
None,275.46,0,0,36,scattered clouds,Tuesday 14:00,5098,31137
None,264.76,0,0,1,sky is clear,Saturday 15:00,4726,396
None,299.59,0,0,75,broken clouds,Tuesday 19:00,3427,33892
None,256.8,0,0,90,heavy snow,Sunday 7:00,962,17520
None,275.79,0,0,90,light intensity drizzle,Saturday 13:00,4556,28101
None,300.13,0,0,0,Sky is Clear,Tuesday 18:00,4555,29867
None,290.1,0,0,20,few clouds,Monday 6:00,5176,9660
None,268.9,0,0,75,broken clouds,Saturday 22:00,2557,22848
None,275.72,0,0,90,moderate rain,Monday 7:00,5478,10718
None,291.35,0,0,40,moderate rain,Saturday 0:00,1320,14753
None,274.86,0,0,90,overcast clouds,Sunday 11:00,3533,6392
None,295.77,0,0,75,broken clouds,Friday 12:00,5229,24794
None,287.58,0,0,90,light rain,Tuesday 14:00,4997,41959
None,300.61,0,0,40,scattered clouds,Wednesday 13:00,4952,21369
None,289.08,0,0,92,light rain,Wednesday 3:00,408,12972
None,294.23,11.78,0,90,heavy intensity rain,Monday 4:00,760,34274
None,289.28,0,0,40,scattered clouds,Tuesday 13:00,4960,11665
None,305.08,0,0,20,few clouds,Monday 17:00,5603,32197
None,289.88,0,0,1,sky is clear,Friday 23:00,1726,11550
None,276.09,0,0,90,mist,Sunday 18:00,3481,45654
None,280.94,0,0,75,mist,Wednesday 10:00,4262,4303
None,291.51,0,0,90,light rain,Friday 0:00,693,3683
None,298.29,0,0,44,scattered clouds,Saturday 16:00,4509,15807
None,270.36,0,0,75,broken clouds,Friday 9:00,5086,14198
None,283.47,0,0,1,sky is clear,Thursday 1:00,369,6470
None,261.81,0,0,5,sky is clear,Sunday 21:00,1902,11555
None,291.55,0,0,1,sky is clear,Tuesday 6:00,1125,22391
None,285.92,0,0,90,haze,Wednesday 21:00,2484,41054
None,288.15,0,0,75,light intensity drizzle,Friday 1:00,393,39050
None,288.56,0,0,90,mist,Saturday 14:00,4866,44645
None,281.02,0,0,90,overcast clouds,Saturday 18:00,4569,38286
None,275.75,0,0,90,overcast clouds,Thursday 8:00,6380,22954
None,268.25,1.02,0,75,light snow,Thursday 10:00,4021,19169
None,289.82,0,0,1,sky is clear,Saturday 3:00,369,18556
None,294.66,0,0,1,sky is clear,Wednesday 10:00,4996,4051
None,299.36,0,0,80,proximity thunderstorm,Friday 10:00,5323,45123
None,271.57,0,0,90,overcast clouds,Monday 23:00,919,26271
None,274.79,0,0,90,haze,Saturday 1:00,709,6084
None,278.95,0,0,1,sky is clear,Monday 22:00,3268,5615
None,266.67,0,0,40,mist,Wednesday 1:00,357,44986
None,253.22,0,0,1,sky is clear,Wednesday 6:00,5511,37204
None,274.84,0,0,90,overcast clouds,Monday 13:00,3682,2246
None,258.34,0,0,40,scattered clouds,Friday 2:00,346,25326
None,274.68,0,0,90,mist,Tuesday 22:00,3152,33966
None,300.41,0,0,1,sky is clear,Sunday 15:00,4754,38334
None,280.29,0,0,20,few clouds,Friday 21:00,3709,6089
None,286.399,0,0,88,overcast clouds,Monday 10:00,4016,25935
None,274.15,0,0,90,overcast clouds,Saturday 17:00,4906,25437
None,273.95,0,0,90,mist,Sunday 11:00,3215,28496
None,250.15,0,0,75,light snow,Friday 4:00,841,1118
None,264.93,0,0,64,broken clouds,Monday 21:00,1991,36957
None,280.41,0,0,40,scattered clouds,Saturday 22:00,4327,23357
None,287.15,0,0,90,moderate rain,Tuesday 1:00,314,47429
None,275.02,0,0,5,sky is clear,Monday 19:00,3086,36859
None,278.95,0,0,75,broken clouds,Wednesday 17:00,6316,38648
None,289.56,0,0,1,mist,Saturday 22:00,2316,25467
None,259.4,0,0,90,mist,Tuesday 3:00,362,44346
None,264.76,0,0,64,light snow,Saturday 3:00,336,33087
None,263.82,0,0,75,broken clouds,Wednesday 12:00,4707,31591
None,290.89,1.52,0,90,mist,Tuesday 1:00,364,22870
None,289.75,0,0,1,sky is clear,Tuesday 5:00,3005,42938
None,302.29,0,0,20,few clouds,Tuesday 17:00,5912,28819
None,277.68,0,0,90,mist,Wednesday 8:00,6264,36497
None,285.64,0,0,1,sky is clear,Wednesday 18:00,4724,34933
None,299.94,0,0,90,overcast clouds,Monday 15:00,5413,22651
None,296.51,0,0,40,scattered clouds,Friday 15:00,5999,3761
None,289.19,0,0,90,mist,Sunday 12:00,4679,24636
None,261.93,0,0,40,scattered clouds,Tuesday 8:00,5915,12498
None,249.39,0,0,75,broken clouds,Monday 7:00,6158,1114
None,290.02,0,0,1,sky is clear,Friday 4:00,798,13081
None,298.41,0,0,75,broken clouds,Monday 9:00,4911,32498
None,300.9,0,0,68,broken clouds,Wednesday 16:00,6799,5846
None,274.88,0,0,1,sky is clear,Wednesday 4:00,783,16809
None,289.81,0,0,75,broken clouds,Friday 23:00,1739,33582
None,250.35,0,0,1,sky is clear,Friday 5:00,2731,20569
None,286.4,0,0,90,haze,Saturday 4:00,367,33738
None,285.04,2.2,0,90,moderate rain,Monday 23:00,891,36765
None,263.8,0,0,90,overcast clouds,Tuesday 9:00,5265,14759
None,289.67,0,0,40,scattered clouds,Monday 12:00,4953,15536
None,270.01,0,0,1,sky is clear,Friday 8:00,5784,15290
None,298.51,0,0,1,sky is clear,Saturday 14:00,4014,38297
None,285.02,0,0,90,light rain,Friday 16:00,4482,15036
None,265.88,0,0,1,light snow,Thursday 7:00,6117,29971
None,286.89,0.25,0,75,light intensity drizzle,Friday 5:00,2919,14237
None,254.65,0,0,90,overcast clouds,Saturday 12:00,4641,2605
None,273.44,0,0,90,overcast clouds,Thursday 18:00,1961,40424
None,249.15,0,0,1,sky is clear,Monday 5:00,2107,40360
None,294.36,0,0,90,overcast clouds,Wednesday 23:00,1292,28269
None,297.66,0,0,90,overcast clouds,Saturday 11:00,3994,45531
None,276.793,0,0,64,broken clouds,Friday 1:00,386,1308
None,295.89,0,0,12,few clouds,Sunday 18:00,4040,11690
None,273.27,0,0,40,scattered clouds,Friday 6:00,5332,21347
None,289.47,0,0,75,broken clouds,Saturday 3:00,230,3950
None,293.63,0,0,0,Sky is Clear,Monday 9:00,4322,26532
None,273.79,0,0,90,mist,Friday 19:00,3716,37787
None,282.08,0,0,40,scattered clouds,Sunday 7:00,1435,23691
None,289.64,4.98,0,92,heavy intensity rain,Thursday 11:00,5088,29003
None,276.68,0,0,20,few clouds,Friday 15:00,6057,27188
None,301.03,0,0,40,scattered clouds,Tuesday 16:00,6670,41880
None,272.95,0,0,1,haze,Wednesday 5:00,2825,31990
None,289.58,0,0,1,mist,Monday 6:00,5655,44498
None,280.5,0,0,40,scattered clouds,Saturday 13:00,5127,5007
